tables,1509929507.0929682,1509990829.9940908
query,1509990829.9942157,1509990830.0625772,1509990829.9942727,1509990830.0621178,1509990830.0288148,3608,3608.0,3608
query,1509990830.0631757,1509990830.7756383,1509990830.0631826,1509990830.7749677,1509990830.1644545,25655,25655.0,25655
query,1509990830.7766917,1509990831.2314477,1509990830.7767,1509990831.2307944,1509990830.865191,25031,25031.0,25031
query,1509990831.231575,1509990831.2597563,1509990831.2315812,1509990831.2593555,1509990831.2481818,3258,3258.0,3258
query,1509990831.2598612,1509990831.2846127,1509990831.2598667,1509990831.284209,1509990831.2754896,3429,3429.0,3429
query,1509990831.2847154,1509990831.81443,1509990831.284721,1509990831.8137667,1509990831.3613627,40840,40840.0,40840
query,1509990831.8145497,1509990831.8390918,1509990831.8145556,1509990831.8386972,1509990831.830168,3081,3081.0,3081
query,1509990831.8392122,1509990831.858799,1509990831.839218,1509990831.8584654,1509990831.8533742,901,901.0,901
query,1509990831.858924,1509990831.9012706,1509990831.85893,1509990831.9008527,1509990831.870881,4495,4495.0,4495
query,1509990831.901363,1509990831.92138,1509990831.9013681,1509990831.9209986,1509990831.9154892,854,854.0,854
query,1509990831.9214706,1509990832.0617976,1509990831.9214756,1509990832.0613961,1509990831.9341466,3470,3470.0,3470
query,1509990832.0618856,1509990832.3946419,1509990832.0618908,1509990832.3940082,1509990832.1154428,31082,31082.0,31082
query,1509990832.3947716,1509990832.5194182,1509990832.3947783,1509990832.5190158,1509990832.405329,3470,3470.0,3470
query,1509990832.5195086,1509990833.537393,1509990832.5195138,1509990833.5367098,1509990832.6233435,43774,43774.0,43774
query,1509990833.5375195,1509990833.5693514,1509990833.537526,1509990833.568874,1509990833.5484147,4106,4106.0,4106
query,1509990833.5694423,1509990833.8731065,1509990833.5694482,1509990833.8725224,1509990833.6106987,16894,16894.0,16894
query,1509990833.8732111,1509990833.8843725,1509990833.873217,1509990833.8840482,1509990833.883382,54,54.0,54
query,1509990833.884466,1509990833.9564235,1509990833.8844707,1509990833.9560728,1509990833.894132,3470,3470.0,3470
query,1509990833.956511,1509990833.9759169,1509990833.956517,1509990833.975605,1509990833.9710493,555,555.0,555
query,1509990833.9760199,1509990834.0725515,1509990833.9760249,1509990834.0721934,1509990833.9861197,3440,3440.0,3440
query,1509990834.0806746,1509990834.1163352,1509990834.0806844,1509990834.115955,1509990834.0920005,7150,7150.0,7150
query,1509990834.1164396,1509990834.2416627,1509990834.1164448,1509990834.241101,1509990834.1397018,17319,17319.0,17319
query,1509990834.2417846,1509990834.2846236,1509990834.241791,1509990834.2842717,1509990834.2525496,3415,3415.0,3415
query,1509990834.2847352,1509990835.6620853,1509990834.2847407,1509990835.661468,1509990834.413562,36214,36214.0,36214
query,1509990835.6622043,1509990835.684629,1509990835.66221,1509990835.6842892,1509990835.6720223,1800,1800.0,1800
query,1509990835.684714,1509990835.8032072,1509990835.6847193,1509990835.802837,1509990835.6943686,3470,3470.0,3470
query,1509990835.8032966,1509990835.9216192,1509990835.8033018,1509990835.921248,1509990835.8130314,3470,3470.0,3470
query,1509990835.921728,1509990836.0390635,1509990835.921734,1509990836.0386984,1509990835.9314709,3473,3473.0,3473
query,1509990836.0391533,1509990836.1590598,1509990836.0391586,1509990836.1586993,1509990836.048905,3470,3470.0,3470
query,1509990836.1591473,1509990836.2778444,1509990836.1591518,1509990836.2774885,1509990836.1689065,3470,3470.0,3470
query,1509990836.2779348,1509990836.2918608,1509990836.2779398,1509990836.291577,1509990836.2904773,50,50.0,50
query,1509990836.2919638,1509990836.3098326,1509990836.291969,1509990836.3095067,1509990836.304327,1077,1077.0,1077
query,1509990836.3099515,1509990838.455213,1509990836.3099566,1509990838.4545336,1509990836.51651,68758,68758.0,68758
query,1509990838.4553359,1509990838.5301702,1509990838.455342,1509990838.5296516,1509990838.4856226,9311,9311.0,9311
query,1509990838.530285,1509990840.0742931,1509990838.5302906,1509990840.0736454,1509990838.6896067,50134,50134.0,50134
query,1509990840.0744157,1509990840.359603,1509990840.0744224,1509990840.358982,1509990840.112727,21394,21394.0,21394
query,1509990840.359725,1509990840.3721004,1509990840.3597314,1509990840.371798,1509990840.3703763,6,6.0,6
query,1509990840.3722327,1509990840.475793,1509990840.3722386,1509990840.4752738,1509990840.3989983,14868,14868.0,14868
query,1509990840.475911,1509990840.795387,1509990840.4759166,1509990840.7948177,1509990840.527641,24116,24116.0,24116
query,1509990840.7955067,1509990840.9041672,1509990840.7955124,1509990840.903647,1509990840.8215818,20493,20493.0,20493
query,1509990840.910882,1509990843.898976,1509990840.9108891,1509990843.8983014,1509990841.1347806,71150,71150.0,71150
query,1509990843.8991003,1509990846.3382394,1509990843.8991067,1509990846.3375833,1509990844.1470332,53601,53601.0,53601
query,1509990846.3383644,1509990849.2549865,1509990846.33837,1509990849.25429,1509990846.5816016,56359,56359.0,56359
query,1509990849.2550988,1509990854.4024546,1509990849.2551048,1509990854.4017417,1509990849.633831,94759,94759.0,94759
query,1509990854.4025784,1509990854.4450507,1509990854.4025846,1509990854.444596,1509990854.4198773,8085,8085.0,8085
query,1509990854.44516,1509990856.185626,1509990854.4451654,1509990856.1849573,1509990854.6298406,61944,61944.0,61944
query,1509990856.1857474,1509990858.8250065,1509990856.1857538,1509990858.8243167,1509990856.3920596,53115,53115.0,53115
query,1509990858.825159,1509990864.8451824,1509990858.8251653,1509990864.8444445,1509990859.2798417,82678,82678.0,82678
query,1509990864.8453069,1509990864.85727,1509990864.8453128,1509990864.8569129,1509990864.8561912,62,62.0,62
