tables,1500664309.606605,1500664346.6736248
query,1500664346.6744618,1500664346.676907,1500664346.6762447
query,1500664346.6793642,1500664346.681759,1500664346.6816125
query,1500664346.6889353,1500664346.6909015,1500664346.6906211
query,1500664346.6938927,1500664346.6945767,1500664346.6944387
query,1500664346.6989841,1500664346.7010043,1500664346.7001092
query,1500664346.7040122,1500664346.705698,1500664346.7051718
query,1500664346.7141533,1500664346.7157607,1500664346.715324
query,1500664346.7170877,1500664346.720184,1500664346.7200246
query,1500664346.7240274,1500664346.7271545,1500664346.7268817
query,1500664346.7319658,1500664346.7334805,1500664346.7332554
query,1500664346.7352574,1500664346.7373292,1500664346.7369514
query,1500664346.7377741,1500664346.7405899,1500664346.739495
query,1500664346.7410314,1500664346.7430985,1500664346.742659
query,1500664346.74458,1500664346.745285,1500664346.7451296
query,1500664346.7471578,1500664346.7486882,1500664346.7482915
query,1500664346.7509205,1500664346.753394,1500664346.7531543
query,1500664346.7549896,1500664346.7586942,1500664346.7582984
query,1500664346.759174,1500664346.7601264,1500664346.759715
query,1500664346.7621694,1500664346.7639632,1500664346.7638764
query,1500664346.7646875,1500664346.766943,1500664346.7663786
query,1500664346.7689772,1500664346.7715435,1500664346.7712293
query,1500664346.77235,1500664346.774192,1500664346.774105
query,1500664346.7762702,1500664346.778835,1500664346.7786314
query,1500664346.7793303,1500664346.7827883,1500664346.782631
query,1500664346.783244,1500664346.784009,1500664346.783782
query,1500664346.7873266,1500664346.7892375,1500664346.7890584
query,1500664346.7903237,1500664346.793871,1500664346.79334
query,1500664346.7943356,1500664346.798663,1500664346.798418
query,1500664346.7991512,1500664346.801348,1500664346.8008199
query,1500664346.8022115,1500664346.803844,1500664346.803456
query,1500664346.8053396,1500664346.8077154,1500664346.807709
query,1500664346.8081584,1500664346.8103194,1500664346.8098369
query,1500664346.811305,1500664346.813465,1500664346.813101
query,1500664346.8139672,1500664346.8177557,1500664346.8174775
query,1500664346.8182147,1500664346.8204603,1500664346.820009
query,1500664346.8212016,1500664346.8231385,1500664346.8223763
query,1500664346.8249185,1500664346.8267908,1500664346.8260639
query,1500664346.827986,1500664346.8326876,1500664346.8320284
query,1500664346.8331318,1500664346.835478,1500664346.835413
query,1500664346.8360996,1500664346.8368971,1500664346.836687
query,1500664346.8383386,1500664346.8396428,1500664346.83951
query,1500664346.8420074,1500664346.8448622,1500664346.8443375
query,1500664346.8453245,1500664346.8475392,1500664346.847533
query,1500664346.8489206,1500664346.8500454,1500664346.8494887
query,1500664346.852397,1500664346.8547142,1500664346.854039
query,1500664346.8552802,1500664346.8584735,1500664346.8581712
query,1500664346.8589232,1500664346.8602543,1500664346.8600614
query,1500664346.862312,1500664346.864019,1500664346.8634844
query,1500664346.8648806,1500664346.8671753,1500664346.8665774
query,1500664346.867618,1500664346.870764,1500664346.8704784
query,1500664346.8712225,1500664346.8735123,1500664346.8734093
query,1500664346.8739479,1500664346.8766782,1500664346.8762207
query,1500664346.877126,1500664346.8794837,1500664346.8788545
query,1500664346.8804321,1500664346.8826156,1500664346.882375
query,1500664346.8833609,1500664346.8870144,1500664346.8862298
query,1500664346.887492,1500664346.8893058,1500664346.8886452
query,1500664346.891283,1500664346.894861,1500664346.894667
query,1500664346.8953254,1500664346.8982627,1500664346.8981044
query,1500664346.8987105,1500664346.9005919,1500664346.9004862
query,1500664346.9010265,1500664346.9038143,1500664346.9033108
query,1500664346.9042568,1500664346.907479,1500664346.9070125
query,1500664346.9079103,1500664346.9099073,1500664346.9097614
query,1500664346.9108562,1500664346.9134328,1500664346.9132624
query,1500664346.9141936,1500664346.9166343,1500664346.916025
query,1500664346.9171007,1500664346.9192622,1500664346.9189126
query,1500664346.920873,1500664346.9234073,1500664346.9231656
query,1500664346.923892,1500664346.9265234,1500664346.926279
query,1500664346.926975,1500664346.928872,1500664346.9287434
query,1500664346.9295962,1500664346.93046,1500664346.9302268
query,1500664346.9329424,1500664346.9348416,1500664346.9346943
query,1500664346.9368033,1500664346.9388587,1500664346.9386194
query,1500664346.9403932,1500664346.9411633,1500664346.9409978
query,1500664346.9439318,1500664346.947369,1500664346.946915
query,1500664346.947812,1500664346.94994,1500664346.9495785
query,1500664346.950401,1500664346.952492,1500664346.9516253
query,1500664346.9530697,1500664346.9549277,1500664346.954203
query,1500664346.9564865,1500664346.9578881,1500664346.9576685
query,1500664346.9599905,1500664346.9627771,1500664346.9624026
query,1500664346.9632747,1500664346.9654942,1500664346.9650567
query,1500664346.9663944,1500664346.9677439,1500664346.9675596
query,1500664346.9694269,1500664346.9712822,1500664346.9706137
query,1500664346.9728053,1500664346.975853,1500664346.975748
query,1500664346.9763467,1500664346.980213,1500664346.9798687
query,1500664346.9806652,1500664346.9832273,1500664346.9829826
query,1500664346.9836717,1500664346.9856415,1500664346.9854372
query,1500664346.9872236,1500664346.9898474,1500664346.9895735
query,1500664346.9907176,1500664346.9931,1500664346.99303
query,1500664346.9942086,1500664346.995578,1500664346.9954119
query,1500664346.998131,1500664347.0001447,1500664346.9998643
query,1500664347.0026302,1500664347.00395,1500664347.0037591
query,1500664347.0067635,1500664347.0098016,1500664347.0092752
query,1500664347.0102603,1500664347.0137842,1500664347.0132353
query,1500664347.0142522,1500664347.0173748,1500664347.0171704
query,1500664347.0178297,1500664347.0217357,1500664347.0213606
query,1500664347.0221887,1500664347.0244226,1500664347.0239437
query,1500664347.025741,1500664347.0267942,1500664347.0263147
query,1500664347.0285904,1500664347.0314229,1500664347.030842
query,1500664347.0324738,1500664347.0347743,1500664347.034193
query,1500664347.035308,1500664347.0371454,1500664347.037039
query,1500664347.0385375,1500664347.0414221,1500664347.0409875
