tables,1500665217.683001,1500665317.153858
query,1500665317.1562722,1500665317.1588533,1500665317.1584022
query,1500665317.1629837,1500665317.164989,1500665317.1643724
query,1500665317.1681647,1500665317.1687531,1500665317.168511
query,1500665317.1749923,1500665317.1799793,1500665317.1774757
query,1500665317.1807964,1500665317.1835287,1500665317.1832337
query,1500665317.1865351,1500665317.188783,1500665317.1885974
query,1500665317.1919453,1500665317.195444,1500665317.1953044
query,1500665317.1975594,1500665317.1984968,1500665317.1978762
query,1500665317.2022076,1500665317.204721,1500665317.2047145
query,1500665317.2076938,1500665317.2091343,1500665317.2091284
query,1500665317.2123852,1500665317.2148616,1500665317.2147133
query,1500665317.2164245,1500665317.2200415,1500665317.2200348
query,1500665317.220904,1500665317.2226386,1500665317.2224364
query,1500665317.2294214,1500665317.23353,1500665317.233483
query,1500665317.2344453,1500665317.2361777,1500665317.235955
query,1500665317.2393813,1500665317.2415588,1500665317.2414784
query,1500665317.245269,1500665317.2474434,1500665317.2473853
query,1500665317.2506428,1500665317.2527301,1500665317.2522736
query,1500665317.2552724,1500665317.2573428,1500665317.2570477
query,1500665317.2612355,1500665317.2641988,1500665317.2640803
query,1500665317.2676787,1500665317.2694533,1500665317.2692406
query,1500665317.2718527,1500665317.275785,1500665317.2757254
query,1500665317.2773218,1500665317.2792888,1500665317.279003
query,1500665317.281786,1500665317.2841032,1500665317.2835531
query,1500665317.28593,1500665317.2885303,1500665317.2881978
query,1500665317.2897303,1500665317.2933295,1500665317.2931378
query,1500665317.29427,1500665317.2970698,1500665317.2970133
query,1500665317.2980084,1500665317.3008084,1500665317.3006096
query,1500665317.3022873,1500665317.303614,1500665317.3035069
query,1500665317.3070867,1500665317.3091314,1500665317.3088102
query,1500665317.3114612,1500665317.3134716,1500665317.31317
query,1500665317.3167222,1500665317.3183863,1500665317.3183105
query,1500665317.321386,1500665317.324174,1500665317.323856
query,1500665317.326045,1500665317.327529,1500665317.3274412
query,1500665317.3308506,1500665317.332822,1500665317.3325756
query,1500665317.3369403,1500665317.3390377,1500665317.3384728
query,1500665317.34208,1500665317.3448331,1500665317.3445985
query,1500665317.3483925,1500665317.351612,1500665317.3512068
query,1500665317.3542347,1500665317.3561308,1500665317.356027
query,1500665317.3629944,1500665317.365921,1500665317.36549
query,1500665317.3711092,1500665317.3729877,1500665317.3727658
query,1500665317.3755221,1500665317.3779414,1500665317.3779342
query,1500665317.38196,1500665317.3836966,1500665317.3835618
query,1500665317.3888917,1500665317.389645,1500665317.38926
query,1500665317.3939152,1500665317.395978,1500665317.3955994
query,1500665317.3992672,1500665317.4010444,1500665317.4008026
query,1500665317.4056404,1500665317.40965,1500665317.4094698
query,1500665317.4140623,1500665317.415012,1500665317.4150047
query,1500665317.4183311,1500665317.4201784,1500665317.4198594
query,1500665317.4228384,1500665317.424138,1500665317.4233131
query,1500665317.4290087,1500665317.4298286,1500665317.4294024
query,1500665317.435821,1500665317.4370158,1500665317.4368534
query,1500665317.441666,1500665317.443821,1500665317.4436715
query,1500665317.4497776,1500665317.4534383,1500665317.4525228
query,1500665317.4559498,1500665317.4571624,1500665317.4569325
query,1500665317.4615958,1500665317.464572,1500665317.4642477
query,1500665317.466391,1500665317.4697082,1500665317.4695253
query,1500665317.4751945,1500665317.4787138,1500665317.478428
query,1500665317.4835052,1500665317.486954,1500665317.4867995
query,1500665317.4915144,1500665317.4933865,1500665317.493229
query,1500665317.497174,1500665317.4989345,1500665317.4985907
query,1500665317.5033658,1500665317.506309,1500665317.5061066
query,1500665317.5075932,1500665317.5094917,1500665317.5086405
query,1500665317.5113127,1500665317.5133638,1500665317.5132859
query,1500665317.515452,1500665317.518419,1500665317.5181065
query,1500665317.5193422,1500665317.5198245,1500665317.519648
query,1500665317.5239305,1500665317.5244129,1500665317.5242984
query,1500665317.5292783,1500665317.531277,1500665317.5309582
query,1500665317.53354,1500665317.5363433,1500665317.5361042
query,1500665317.5372171,1500665317.5402472,1500665317.5400267
query,1500665317.5411084,1500665317.5421207,1500665317.5419738
query,1500665317.545621,1500665317.5485585,1500665317.5482745
query,1500665317.549857,1500665317.5513823,1500665317.5512564
query,1500665317.5535603,1500665317.5548642,1500665317.5546973
query,1500665317.5575697,1500665317.560854,1500665317.5608468
query,1500665317.5624545,1500665317.566111,1500665317.5659804
query,1500665317.5683093,1500665317.5705817,1500665317.5703464
query,1500665317.5728621,1500665317.5740445,1500665317.573187
query,1500665317.5765371,1500665317.5778294,1500665317.5776792
query,1500665317.5812092,1500665317.584553,1500665317.584341
query,1500665317.5859075,1500665317.5879455,1500665317.5877326
query,1500665317.5903015,1500665317.590941,1500665317.5906467
query,1500665317.594642,1500665317.5976014,1500665317.5972686
query,1500665317.5995045,1500665317.601336,1500665317.6009886
query,1500665317.6035395,1500665317.6043584,1500665317.6039546
query,1500665317.607403,1500665317.611621,1500665317.611402
query,1500665317.612665,1500665317.614118,1500665317.6130576
query,1500665317.618205,1500665317.6207037,1500665317.619826
query,1500665317.623599,1500665317.6253228,1500665317.6251295
query,1500665317.6275606,1500665317.629469,1500665317.629252
query,1500665317.6319637,1500665317.633116,1500665317.6329837
query,1500665317.6363225,1500665317.6378856,1500665317.6378112
query,1500665317.6409192,1500665317.6441643,1500665317.643899
query,1500665317.6459305,1500665317.6491747,1500665317.6488705
query,1500665317.650705,1500665317.652347,1500665317.6521857
query,1500665317.6541796,1500665317.6566293,1500665317.6565762
query,1500665317.6582396,1500665317.6624432,1500665317.6623118
query,1500665317.66376,1500665317.6655424,1500665317.6647499
query,1500665317.668395,1500665317.6702003,1500665317.6699517
query,1500665317.6728497,1500665317.6753263,1500665317.6751838
