tables,1500664886.7467,1500665109.1861055
query,1500665109.1867762,1500665109.193435,1500665109.1919315
query,1500665109.1960464,1500665109.202961,1500665109.201928
query,1500665109.2051313,1500665109.2128303,1500665109.2121203
query,1500665109.2134204,1500665109.2184763,1500665109.217737
query,1500665109.2205822,1500665109.2300987,1500665109.2294633
query,1500665109.2303874,1500665109.2372596,1500665109.2367687
query,1500665109.2396746,1500665109.244849,1500665109.2440758
query,1500665109.245047,1500665109.2501762,1500665109.2499518
query,1500665109.2503927,1500665109.2591505,1500665109.2577727
query,1500665109.259371,1500665109.2680283,1500665109.2677176
query,1500665109.268242,1500665109.2743092,1500665109.2739856
query,1500665109.2762067,1500665109.2838864,1500665109.283313
query,1500665109.285646,1500665109.2922182,1500665109.2911983
query,1500665109.2955432,1500665109.302248,1500665109.301982
query,1500665109.302962,1500665109.3088655,1500665109.3081727
query,1500665109.3116305,1500665109.3187306,1500665109.3172932
query,1500665109.3189216,1500665109.3275287,1500665109.3271089
query,1500665109.3277473,1500665109.3322148,1500665109.332064
query,1500665109.3324068,1500665109.337928,1500665109.3369522
query,1500665109.3417645,1500665109.3473716,1500665109.3469615
query,1500665109.3477283,1500665109.3547447,1500665109.3544805
query,1500665109.3555648,1500665109.3634727,1500665109.3629434
query,1500665109.3638113,1500665109.367999,1500665109.3677378
query,1500665109.3693514,1500665109.3740811,1500665109.3731086
query,1500665109.3762772,1500665109.3840628,1500665109.3834434
query,1500665109.3844516,1500665109.3878627,1500665109.3875365
query,1500665109.3924341,1500665109.3992522,1500665109.3983564
query,1500665109.4013557,1500665109.4070718,1500665109.4060457
query,1500665109.4094174,1500665109.4133835,1500665109.412731
query,1500665109.4172,1500665109.422977,1500665109.4226136
query,1500665109.4232066,1500665109.4282053,1500665109.4268425
query,1500665109.4338155,1500665109.4419587,1500665109.4414794
query,1500665109.4440548,1500665109.4472263,1500665109.4465454
query,1500665109.449401,1500665109.4581628,1500665109.4574616
query,1500665109.4583771,1500665109.4665003,1500665109.4655359
query,1500665109.46669,1500665109.4721363,1500665109.4715536
query,1500665109.4754875,1500665109.4801698,1500665109.4791334
query,1500665109.481732,1500665109.4875035,1500665109.4871104
query,1500665109.487717,1500665109.4925704,1500665109.4920876
query,1500665109.4927788,1500665109.4986217,1500665109.4982233
query,1500665109.500714,1500665109.5063298,1500665109.5050542
query,1500665109.506739,1500665109.5148454,1500665109.514094
query,1500665109.5177019,1500665109.5260375,1500665109.5249898
query,1500665109.5262358,1500665109.531309,1500665109.5305572
query,1500665109.535226,1500665109.541296,1500665109.5407753
query,1500665109.5427496,1500665109.5496683,1500665109.5490067
query,1500665109.5528796,1500665109.5589874,1500665109.5581565
query,1500665109.5592167,1500665109.5635273,1500665109.5629902
query,1500665109.5672417,1500665109.5723996,1500665109.5718095
query,1500665109.575396,1500665109.582769,1500665109.5823147
query,1500665109.5829663,1500665109.587415,1500665109.5866635
query,1500665109.5890274,1500665109.5923514,1500665109.5915284
query,1500665109.595574,1500665109.6039321,1500665109.6033568
query,1500665109.6041534,1500665109.6105273,1500665109.609886
query,1500665109.610722,1500665109.616835,1500665109.6163976
query,1500665109.6180239,1500665109.6229517,1500665109.6218905
query,1500665109.6289556,1500665109.6359928,1500665109.635414
query,1500665109.6368845,1500665109.6439297,1500665109.6431868
query,1500665109.644151,1500665109.6497116,1500665109.6493578
query,1500665109.650903,1500665109.6607985,1500665109.659613
query,1500665109.660997,1500665109.664965,1500665109.6641605
query,1500665109.6670973,1500665109.6740859,1500665109.6737673
query,1500665109.6742816,1500665109.681149,1500665109.6804614
query,1500665109.6822445,1500665109.6867867,1500665109.6859612
query,1500665109.6895685,1500665109.6953967,1500665109.694834
query,1500665109.69715,1500665109.7036853,1500665109.7032223
query,1500665109.7057786,1500665109.7113698,1500665109.7101617
query,1500665109.7157402,1500665109.721671,1500665109.721114
query,1500665109.724321,1500665109.730657,1500665109.7300568
query,1500665109.7346644,1500665109.740243,1500665109.7398221
query,1500665109.7439203,1500665109.75091,1500665109.750695
query,1500665109.7547548,1500665109.7586129,1500665109.7581732
query,1500665109.7633858,1500665109.7693272,1500665109.768164
query,1500665109.7709475,1500665109.7755027,1500665109.7747982
query,1500665109.7777202,1500665109.7843697,1500665109.7837644
query,1500665109.785448,1500665109.792482,1500665109.791873
query,1500665109.7965214,1500665109.800225,1500665109.7998438
query,1500665109.8014207,1500665109.8054297,1500665109.804775
query,1500665109.808219,1500665109.8141184,1500665109.8136704
query,1500665109.8147564,1500665109.819954,1500665109.8195148
query,1500665109.8229535,1500665109.8276718,1500665109.8269477
query,1500665109.830261,1500665109.8355956,1500665109.8342323
query,1500665109.8358011,1500665109.8421159,1500665109.84166
query,1500665109.844253,1500665109.8485453,1500665109.8480513
query,1500665109.8513427,1500665109.8555427,1500665109.8552008
query,1500665109.8600533,1500665109.8634052,1500665109.8626885
query,1500665109.8658721,1500665109.872555,1500665109.8716824
query,1500665109.8729956,1500665109.8775485,1500665109.8769
query,1500665109.8791044,1500665109.8839648,1500665109.8824883
query,1500665109.8889768,1500665109.8955784,1500665109.8944886
query,1500665109.8977625,1500665109.903674,1500665109.9030852
query,1500665109.9038804,1500665109.9083192,1500665109.9076285
query,1500665109.9111807,1500665109.9189959,1500665109.9185166
query,1500665109.9209683,1500665109.926443,1500665109.926136
query,1500665109.926642,1500665109.9355838,1500665109.9348972
query,1500665109.9392679,1500665109.9444187,1500665109.9439006
query,1500665109.9450784,1500665109.9543717,1500665109.9530237
query,1500665109.9546006,1500665109.9613903,1500665109.9610085
query,1500665109.9627495,1500665109.9697673,1500665109.9686155
query,1500665109.9705374,1500665109.9762979,1500665109.9757493
