tables,1513463115.966136,1513463713.7435462
query,1513463713.744451,1513463714.0844743,106
query,1513463714.0987992,1513463714.3270812,1781
query,1513463714.327086,1513463714.5737538,2089
query,1513463714.5737574,1513463714.7486763,111
query,1513463714.7486804,1513463714.9830391,107
query,1513463714.983044,1513463715.21577,2610
query,1513463715.2157834,1513463715.370383,303
query,1513463715.3703868,1513463715.5178814,87
query,1513463715.517885,1513463715.6908798,276
query,1513463715.6908834,1513463715.841846,106
query,1513463715.8418505,1513463716.0465434,110
query,1513463716.046547,1513463716.2247899,1835
query,1513463716.2247932,1513463716.4026024,110
query,1513463716.4026062,1513463716.5897093,1793
query,1513463716.589713,1513463716.768927,164
query,1513463716.7689314,1513463716.954605,1837
query,1513463716.9546092,1513463717.1001978,50
query,1513463717.1002014,1513463717.276947,107
query,1513463717.2769501,1513463717.496967,224
query,1513463717.4969695,1513463717.72052,108
query,1513463717.7205586,1513463717.9111578,540
query,1513463717.9188046,1513463718.089647,1743
query,1513463718.08965,1513463718.2635553,107
query,1513463718.2635581,1513463718.436559,2098
query,1513463718.4365637,1513463718.5882325,92
query,1513463718.588236,1513463718.7593908,110
query,1513463718.759396,1513463718.9145796,110
query,1513463718.9145825,1513463719.0771804,110
query,1513463719.0771844,1513463719.2538676,110
query,1513463719.2538714,1513463719.4440203,110
query,1513463719.4440246,1513463719.6911483,152
query,1513463719.6911523,1513463719.8513548,375
query,1513463719.8513584,1513463720.0494196,2368
query,1513463720.0494235,1513463720.197777,1169
query,1513463720.1977813,1513463720.4312873,1933
query,1513463720.431291,1513463720.6109817,1064
query,1513463720.6109858,1513463720.7478166,53
query,1513463720.7478218,1513463720.9286149,2079
query,1513463720.92862,1513463721.2060804,1299
query,1513463721.2060843,1513463721.4708087,1266
query,1513463721.470846,1513463721.713173,2438
query,1513463721.7224467,1513463721.9500222,2054
query,1513463721.9500268,1513463722.1748364,2219
query,1513463722.1748397,1513463722.402601,3110
query,1513463722.4026043,1513463722.6102717,1095
query,1513463722.610275,1513463722.8851018,2327
query,1513463722.8851092,1513463723.093103,1769
query,1513463723.0931065,1513463723.331336,3023
query,1513463723.3313391,1513463723.485185,180
query,1513463723.4851878,1513463723.6617827,187
