tables,1513109191.2156632,1513110433.8296583
query,1513110433.8315866,1513110434.2085528,77
query,1513110434.226586,1513110434.567399,229
query,1513110434.5674043,1513110434.807697,235
query,1513110434.807701,1513110435.039392,79
query,1513110435.0393963,1513110435.336728,6
query,1513110435.3367333,1513110435.5590522,266
query,1513110435.5590565,1513110435.7234693,2
query,1513110435.7234738,1513110435.9428618,9
query,1513110435.942866,1513110436.2026048,61
query,1513110436.2026079,1513110436.4216278,16
query,1513110436.4216325,1513110436.6537306,86
query,1513110436.6537344,1513110436.8576527,134
query,1513110436.8576567,1513110437.0538592,86
query,1513110437.0538647,1513110437.282644,360
query,1513110437.2826486,1513110437.6672387,61
query,1513110437.6672437,1513110437.9057484,222
query,1513110437.9057527,1513110438.119156,3
query,1513110438.1191607,1513110438.3963733,85
query,1513110438.3963783,1513110438.6594007,4
query,1513110438.6594117,1513110438.9880764,83
query,1513110438.9882572,1513110439.216151,103
query,1513110439.2271593,1513110439.4780784,112
query,1513110439.4780846,1513110439.7753968,80
query,1513110439.7754016,1513110440.0474296,390
query,1513110440.0474322,1513110440.2665548,37
query,1513110440.266558,1513110440.5061407,86
query,1513110440.506144,1513110440.785599,86
query,1513110440.785602,1513110441.029744,86
query,1513110441.0297487,1513110441.3983095,86
query,1513110441.398314,1513110441.7971616,86
query,1513110441.7971663,1513110442.0955102,1
query,1513110442.0955148,1513110442.3341136,3
query,1513110442.3341162,1513110442.641579,429
query,1513110442.6415837,1513110442.8917685,49
query,1513110442.8917723,1513110443.1554053,462
query,1513110443.1554084,1513110443.4249394,200
query,1513110443.4249432,1513110443.6517203,0
query,1513110443.6517239,1513110443.8651633,142
query,1513110443.8651688,1513110444.080211,308
query,1513110444.0802152,1513110444.3365371,109
query,1513110444.336584,1513110444.6391144,641
query,1513110444.646874,1513110444.90053,636
query,1513110444.9005346,1513110445.142505,540
query,1513110445.1425118,1513110445.3988442,854
query,1513110445.3988473,1513110445.6732578,70
query,1513110445.6732635,1513110445.9533072,529
query,1513110445.9533117,1513110446.1756806,486
query,1513110446.1756954,1513110446.5541682,880
query,1513110446.554173,1513110446.7814777,1
query,1513110446.7814806,1513110446.9644759,0
query,1513110446.9644794,1513110447.367063,255
query,1513110447.3670683,1513110447.7344117,0
query,1513110447.7344148,1513110448.0873957,807
query,1513110448.0873997,1513110448.3579624,99
query,1513110448.357966,1513110448.6099706,79
query,1513110448.609975,1513110448.8813431,103
query,1513110448.8813472,1513110449.0867875,70
query,1513110449.086792,1513110449.3295908,439
query,1513110449.3295944,1513110449.5782998,263
query,1513110449.5783045,1513110449.8244822,5
query,1513110449.8245192,1513110450.106027,0
query,1513110450.1086845,1513110450.321481,109
query,1513110450.321485,1513110450.6054006,808
query,1513110450.6054168,1513110450.9064028,478
query,1513110450.9064074,1513110451.2039273,12
query,1513110451.2039318,1513110451.4512198,175
query,1513110451.4512239,1513110451.7033682,72
query,1513110451.7033727,1513110451.9427416,698
query,1513110451.9427466,1513110452.3227875,277
query,1513110452.3227942,1513110452.5814226,20
query,1513110452.5814276,1513110452.8522015,332
query,1513110452.8522067,1513110453.1601763,681
query,1513110453.1601813,1513110453.38653,0
query,1513110453.386534,1513110453.6512425,151
query,1513110453.651246,1513110453.8705835,284
query,1513110453.8705878,1513110454.1239564,270
query,1513110454.12396,1513110454.3756325,0
query,1513110454.3756366,1513110454.5876477,47
query,1513110454.5876524,1513110454.8383484,93
query,1513110454.8383532,1513110455.1554034,114
query,1513110455.1554375,1513110455.4415634,387
query,1513110455.4588554,1513110455.665638,38
query,1513110455.6656423,1513110455.9009504,46
query,1513110455.9009547,1513110456.1448922,1
query,1513110456.1448967,1513110456.4212854,229
query,1513110456.4212894,1513110456.792057,8
query,1513110456.792061,1513110457.0750334,0
query,1513110457.0750375,1513110457.2664194,440
query,1513110457.266424,1513110457.5683732,19
query,1513110457.5683782,1513110457.825021,144
query,1513110457.8250253,1513110458.0950894,163
query,1513110458.095094,1513110458.3410513,49
query,1513110458.3410556,1513110458.6745007,34
query,1513110458.6745052,1513110458.9843638,33
query,1513110458.984368,1513110459.2295187,1
query,1513110459.2295234,1513110459.4323354,306
query,1513110459.4323401,1513110459.7589989,77
query,1513110459.759002,1513110460.0276127,602
query,1513110460.0276172,1513110460.3177574,394
query,1513110460.3177624,1513110460.7562754,812
query,1513110460.7563148,1513110461.0656826,2
query,1513110461.0732863,1513110461.2734845,288
query,1513110461.2734888,1513110461.5918407,286
query,1513110461.5918443,1513110461.856683,54
query,1513110461.8566873,1513110462.1592174,55
query,1513110462.159222,1513110462.4135942,378
query,1513110462.4135978,1513110462.6492004,741
query,1513110462.6492047,1513110463.012201,293
query,1513110463.0122056,1513110463.1922498,1
query,1513110463.1922543,1513110463.4349723,663
query,1513110463.4349766,1513110463.724453,62
query,1513110463.7244587,1513110463.9925303,152
query,1513110463.9925354,1513110464.2416828,58
query,1513110464.2416883,1513110464.516833,93
