tables,1513464453.1760292,1513465148.2091928
query,1513465148.209831,1513465148.7282557,110
query,1513465148.743937,1513465149.0322962,1229
query,1513465149.0323012,1513465149.2927558,1233
query,1513465149.2927604,1513465149.4842625,106
query,1513465149.4842663,1513465149.6927214,108
query,1513465149.6927261,1513465149.9217672,2423
query,1513465149.9217713,1513465150.1155412,278
query,1513465150.1155457,1513465150.3193808,75
query,1513465150.3194,1513465150.529082,292
query,1513465150.5290859,1513465150.7082958,109
query,1513465150.7082999,1513465150.9357946,97
query,1513465150.9357986,1513465151.1231313,1879
query,1513465151.123135,1513465151.3325238,97
query,1513465151.3325279,1513465151.516542,1248
query,1513465151.5165465,1513465151.7000337,273
query,1513465151.7000382,1513465151.8647056,858
query,1513465151.8647091,1513465152.053406,33
query,1513465152.0534098,1513465152.2300184,98
query,1513465152.230023,1513465152.4230113,1251
query,1513465152.423015,1513465152.6092143,97
query,1513465152.609285,1513465152.8272924,502
query,1513465152.8406441,1513465152.9832537,1143
query,1513465152.9832578,1513465153.1452382,107
query,1513465153.1452427,1513465153.3197997,1469
query,1513465153.3198047,1513465153.4751072,108
query,1513465153.4751122,1513465153.6880217,97
query,1513465153.688026,1513465153.9600084,97
query,1513465153.9600134,1513465154.111901,97
query,1513465154.111905,1513465154.2703035,97
query,1513465154.2703078,1513465154.4291682,97
query,1513465154.4291725,1513465154.6273954,302
query,1513465154.6273997,1513465154.8299038,657
query,1513465154.829908,1513465155.060893,2381
query,1513465155.0608976,1513465155.2312691,1339
query,1513465155.2312741,1513465155.4845598,2217
query,1513465155.4845655,1513465155.7741487,1178
query,1513465155.7741535,1513465155.973055,44
query,1513465155.97306,1513465156.1551936,2028
query,1513465156.1551976,1513465156.3668547,1234
query,1513465156.3668597,1513465156.5455568,1813
query,1513465156.5456102,1513465156.8010306,2728
query,1513465156.8167202,1513465157.0562189,2320
query,1513465157.0562224,1513465157.3255644,2688
query,1513465157.3255696,1513465157.560861,3088
query,1513465157.5608654,1513465157.6895204,846
query,1513465157.6895254,1513465157.903868,2652
query,1513465157.9038727,1513465158.113089,1866
query,1513465158.1130948,1513465158.346256,3054
query,1513465158.3462617,1513465158.5325232,401
query,1513465158.5325284,1513465158.7236013,160
query,1513465158.7236075,1513465158.9534822,1859
query,1513465158.953488,1513465159.167059,0
query,1513465159.167064,1513465159.4130945,3027
query,1513465159.4130995,1513465159.622541,2315
query,1513465159.6225445,1513465159.8242872,1330
query,1513465159.8242927,1513465160.028317,1763
query,1513465160.0283217,1513465160.2677827,2520
query,1513465160.2677903,1513465160.5233085,2649
query,1513465160.5233126,1513465160.7339046,1333
query,1513465160.7339094,1513465160.9358099,886
query,1513465160.9358652,1513465161.146976,103
query,1513465161.1586604,1513465161.347918,1387
query,1513465161.3479218,1513465161.6663547,3067
query,1513465161.6663582,1513465161.8636076,2453
query,1513465161.8636127,1513465162.040335,1213
query,1513465162.0403395,1513465162.2705672,1221
query,1513465162.270572,1513465162.470885,1072
query,1513465162.4708893,1513465162.7218492,2487
query,1513465162.721854,1513465162.9261398,2764
query,1513465162.9261444,1513465163.103357,1780
query,1513465163.1033614,1513465163.4193597,2735
query,1513465163.4193647,1513465163.643601,2881
query,1513465163.6436062,1513465163.83761,53
query,1513465163.8376155,1513465164.0105968,2007
query,1513465164.0106022,1513465164.2453418,1226
query,1513465164.2453463,1513465164.4740486,1115
query,1513465164.4740653,1513465164.6466665,7
query,1513465164.6466718,1513465164.8045511,797
query,1513465164.804555,1513465165.0195181,1494
query,1513465165.0195231,1513465165.2098596,1272
query,1513465165.209908,1513465165.46416,2735
query,1513465165.4785817,1513465165.6536446,565
query,1513465165.6536481,1513465165.8570209,2150
query,1513465165.857025,1513465166.0128171,332
query,1513465166.0128226,1513465166.1856523,2401
query,1513465166.1856556,1513465166.3325515,1204
query,1513465166.3325548,1513465166.44224,0
query,1513465166.4422445,1513465166.7095115,3225
query,1513465166.709515,1513465166.8920324,638
query,1513465166.8920374,1513465167.074773,1745
query,1513465167.074777,1513465167.3157094,2638
query,1513465167.315713,1513465167.5191607,652
query,1513465167.5191648,1513465167.711611,1511
query,1513465167.7116153,1513465167.9189339,927
query,1513465167.9189374,1513465168.06422,159
query,1513465168.0642245,1513465168.3199308,2459
query,1513465168.3199346,1513465168.551785,1094
query,1513465168.551788,1513465168.8484774,3037
query,1513465168.8484828,1513465169.1493897,2164
query,1513465169.149394,1513465169.395849,3375
query,1513465169.395888,1513465169.580843,735
query,1513465169.5890503,1513465169.8447618,1432
query,1513465169.8447664,1513465170.0852284,1378
query,1513465170.085233,1513465170.291113,353
query,1513465170.2911174,1513465170.5388556,1710
query,1513465170.53886,1513465170.7558675,1273
query,1513465170.7558715,1513465171.0238917,4133
query,1513465171.0238965,1513465171.2279947,2465
query,1513465171.2279987,1513465171.4569654,325
query,1513465171.4569695,1513465171.716357,3037
query,1513465171.7163615,1513465172.0215387,2162
query,1513465172.0215445,1513465172.2061753,3088
query,1513465172.2062237,1513465172.4514148,806
query,1513465172.451419,1513465172.688046,2160
query,1513465172.6880507,1513465172.9185524,1828
query,1513465172.9185581,1513465173.0879786,866
query,1513465173.0879836,1513465173.2790887,2039
query,1513465173.2790933,1513465173.4965777,2915
query,1513465173.4965823,1513465173.688001,1981
query,1513465173.6880057,1513465173.8654377,1470
query,1513465173.865476,1513465174.1187098,1454
query,1513465174.1311924,1513465174.3278155,301
query,1513465174.3278196,1513465174.5767598,3208
query,1513465174.5767856,1513465174.7475595,78
query,1513465174.7475643,1513465174.9221256,1226
query,1513465174.9221308,1513465175.119997,2551
query,1513465175.120001,1513465175.3111827,613
query,1513465175.3111868,1513465175.7013624,3034
query,1513465175.7013667,1513465175.8731573,1212
query,1513465175.8731613,1513465176.1005418,3523
query,1513465176.1005466,1513465176.4762201,2867
query,1513465176.476225,1513465176.7051184,1760
query,1513465176.7051222,1513465176.8834627,1600
query,1513465176.8834662,1513465177.0566015,2274
query,1513465177.0566056,1513465177.3424544,3356
query,1513465177.3424582,1513465177.5239935,119
query,1513465177.5239968,1513465177.734808,303
query,1513465177.7348125,1513465177.9643886,3144
query,1513465177.9643939,1513465178.187706,1418
query,1513465178.1877103,1513465178.4477363,1131
query,1513465178.4477806,1513465178.729897,1072
query,1513465178.7427633,1513465178.9855626,2527
query,1513465178.9855669,1513465179.174955,765
query,1513465179.174959,1513465179.3794684,288
query,1513465179.3794727,1513465179.626657,2512
query,1513465179.6266625,1513465179.9488227,3214
query,1513465179.948828,1513465180.1926744,1902
query,1513465180.192679,1513465180.4082105,1738
query,1513465180.408215,1513465180.7292242,2706
query,1513465180.729229,1513465180.949637,2136
query,1513465180.9496431,1513465181.2623112,2164
query,1513465181.2623158,1513465181.4000587,19
query,1513465181.4000638,1513465181.5922005,1900
query,1513465181.592204,1513465181.7597287,645
query,1513465181.759732,1513465181.9320588,307
query,1513465181.9320643,1513465182.1246266,382
query,1513465182.12463,1513465182.417791,2787
query,1513465182.4177973,1513465182.6270008,2194
query,1513465182.6270058,1513465182.8795319,2990
query,1513465182.879537,1513465183.169405,2944
query,1513465183.1694562,1513465183.4376082,1433
query,1513465183.445644,1513465183.6746116,2622
query,1513465183.6746154,1513465183.8923266,1232
query,1513465183.8923318,1513465184.1282852,1086
query,1513465184.1282904,1513465184.3296785,526
query,1513465184.3296843,1513465184.5138533,1275
query,1513465184.5138586,1513465184.7110097,2543
query,1513465184.711015,1513465184.9647527,3364
query,1513465184.9647586,1513465185.2096412,1502
query,1513465185.2096443,1513465185.410481,384
query,1513465185.4104862,1513465185.6549137,3089
query,1513465185.6549177,1513465185.8383842,301
query,1513465185.8383904,1513465186.0538929,1319
query,1513465186.0538979,1513465186.2321265,1616
query,1513465186.232131,1513465186.4717762,3295
query,1513465186.4717808,1513465186.6860552,3130
query,1513465186.6860597,1513465186.8915112,1098
query,1513465186.8915157,1513465187.0699916,205
query,1513465187.0699956,1513465187.3000166,2993
query,1513465187.3000216,1513465187.598039,2762
query,1513465187.5980814,1513465187.78994,1355
query,1513465187.8029723,1513465188.0524147,1014
query,1513465188.0524197,1513465188.240435,2231
query,1513465188.2404401,1513465188.5580184,3220
query,1513465188.5580232,1513465188.802905,1946
query,1513465188.8029096,1513465189.0119877,1602
query,1513465189.0119932,1513465189.2133255,1031
query,1513465189.21333,1513465189.43418,397
query,1513465189.4341843,1513465189.63536,211
query,1513465189.6353645,1513465189.8795483,3159
query,1513465189.8795521,1513465190.0617352,731
query,1513465190.0617394,1513465190.2748308,2164
query,1513465190.2748346,1513465190.4334016,89
query,1513465190.433406,1513465190.6441581,1769
query,1513465190.6441624,1513465190.8467665,60
query,1513465190.846771,1513465191.1074772,3055
query,1513465191.1074843,1513465191.3403778,1450
query,1513465191.340384,1513465191.5077958,948
query,1513465191.5078,1513465191.7206092,1998
query,1513465191.7206144,1513465191.972327,2951
query,1513465191.9723666,1513465192.2168155,448
query,1513465192.224902,1513465192.3867416,265
query,1513465192.3867462,1513465192.5539517,1574
query,1513465192.553955,1513465192.764843,2387
query,1513465192.764848,1513465193.0341625,2608
query,1513465193.0341685,1513465193.308204,1566
query,1513465193.308208,1513465193.5579855,2980
query,1513465193.5579898,1513465193.7594545,1163
query,1513465193.7594585,1513465193.9223413,1
query,1513465193.9223478,1513465194.1849983,1165
query,1513465194.185003,1513465194.4455795,561
query,1513465194.4455838,1513465194.6573296,1532
query,1513465194.657334,1513465194.875819,2801
query,1513465194.8758245,1513465195.1944335,1641
query,1513465195.1944377,1513465195.4120302,978
query,1513465195.412035,1513465195.683569,1673
query,1513465195.683573,1513465195.8305469,1125
query,1513465195.83055,1513465196.0153084,2278
query,1513465196.0153127,1513465196.1831925,2380
query,1513465196.1831965,1513465196.3598087,1681
query,1513465196.3598533,1513465196.5483294,2295
query,1513465196.5599563,1513465196.8111205,716
query,1513465196.8111248,1513465197.0548456,2147
query,1513465197.05485,1513465197.2590249,2116
query,1513465197.2590294,1513465197.4991992,3128
query,1513465197.4992032,1513465197.7564166,2587
query,1513465197.7564216,1513465198.0043557,2780
query,1513465198.0043597,1513465198.2487416,4136
query,1513465198.2487454,1513465198.4226782,2046
query,1513465198.4226828,1513465198.5800576,1
query,1513465198.5800605,1513465198.8235242,1549
query,1513465198.8235283,1513465199.0840526,2337
query,1513465199.0840564,1513465199.2842352,1695
query,1513465199.2842393,1513465199.5523417,2250
query,1513465199.5523462,1513465199.8515441,1252
query,1513465199.8515487,1513465200.0241034,0
query,1513465200.0241065,1513465200.2856433,2824
query,1513465200.2856486,1513465200.558147,3163
query,1513465200.558151,1513465200.7438743,905
query,1513465200.7438788,1513465200.9774818,579
query,1513465200.9775329,1513465201.2268252,1657
query,1513465201.237836,1513465201.4903002,3198
query,1513465201.4903045,1513465201.6887226,1003
query,1513465201.6887271,1513465201.8999786,2020
query,1513465201.8999825,1513465202.1752706,3060
query,1513465202.175275,1513465202.3826947,2889
query,1513465202.3826978,1513465202.5695312,1578
query,1513465202.5695348,1513465202.6841931,0
query,1513465202.6841967,1513465202.873267,419
query,1513465202.8732722,1513465203.1055095,3340
query,1513465203.105513,1513465203.4152918,397
query,1513465203.4152963,1513465203.5686173,50
query,1513465203.5686204,1513465203.818061,2869
query,1513465203.8180664,1513465204.0403576,435
query,1513465204.0403645,1513465204.2458642,2770
query,1513465204.245868,1513465204.4785767,2657
query,1513465204.4785814,1513465204.731252,2698
query,1513465204.7312558,1513465204.9363878,71
query,1513465204.9363937,1513465205.0950336,6
query,1513465205.0950372,1513465205.2905154,2767
query,1513465205.2905536,1513465205.5763893,2902
query,1513465205.5904,1513465205.794822,1843
query,1513465205.7948267,1513465205.9364464,0
query,1513465205.9364502,1513465206.1700625,2620
query,1513465206.1700659,1513465206.3250642,2722
query,1513465206.325069,1513465206.5311582,941
query,1513465206.5311615,1513465206.692732,1
query,1513465206.6927361,1513465206.8688593,440
query,1513465206.8688672,1513465207.0715003,2170
query,1513465207.0715048,1513465207.2404249,133
query,1513465207.2404284,1513465207.4093828,10
query,1513465207.409387,1513465207.6253376,1597
query,1513465207.625342,1513465207.7856734,6
query,1513465207.785678,1513465208.046537,771
query,1513465208.0465417,1513465208.2786596,1542
query,1513465208.2786653,1513465208.5810869,3072
query,1513465208.5810926,1513465208.851867,1960
query,1513465208.8518713,1513465209.109738,2961
query,1513465209.1097424,1513465209.3269532,1048
query,1513465209.3269575,1513465209.5276215,2839
query,1513465209.5276704,1513465209.7810893,488
query,1513465209.7948937,1513465210.0669916,2910
query,1513465210.0669978,1513465210.311382,1804
query,1513465210.311387,1513465210.4943993,866
query,1513465210.4944038,1513465210.7352731,1496
query,1513465210.7352777,1513465210.895035,2259
query,1513465210.895039,1513465211.0754974,1836
query,1513465211.0755024,1513465211.2957704,2800
query,1513465211.2957747,1513465211.5034747,1328
query,1513465211.5034783,1513465211.6957026,738
query,1513465211.6957068,1513465212.0762544,1066
query,1513465212.0762584,1513465212.3136146,2506
query,1513465212.3136191,1513465212.5683076,3309
query,1513465212.568312,1513465212.7852182,550
query,1513465212.7852237,1513465213.0559037,4
query,1513465213.0559075,1513465213.2639825,1246
query,1513465213.2639866,1513465213.4391687,417
query,1513465213.4391732,1513465213.667881,2985
query,1513465213.6678858,1513465213.9395752,2898
query,1513465213.9395802,1513465214.2072172,2634
query,1513465214.2072642,1513465214.4295695,926
query,1513465214.4390342,1513465214.6659248,2727
query,1513465214.6659284,1513465215.0106475,2474
query,1513465215.010652,1513465215.3801975,2790
query,1513465215.3802023,1513465215.6626744,2905
query,1513465215.6626785,1513465215.819958,1439
query,1513465215.819962,1513465216.138137,1885
query,1513465216.1381412,1513465216.4606645,1247
query,1513465216.4606686,1513465216.6826122,904
query,1513465216.6826181,1513465216.967084,3231
query,1513465216.9670885,1513465217.109483,864
query,1513465217.1094875,1513465217.3254158,1353
query,1513465217.3254197,1513465217.4630768,1
query,1513465217.4630811,1513465217.6387138,328
query,1513465217.6387172,1513465218.0012276,2997
query,1513465218.0012321,1513465218.2387488,509
query,1513465218.2387526,1513465218.433922,2026
query,1513465218.4339259,1513465218.6465745,1919
query,1513465218.6465797,1513465218.7693024,2
query,1513465218.7693062,1513465218.942654,681
query,1513465218.9427288,1513465219.1950967,2972
query,1513465219.20787,1513465219.457072,838
query,1513465219.4570768,1513465219.7516603,3377
query,1513465219.751664,1513465220.0491736,3246
query,1513465220.0491786,1513465220.2176328,1455
query,1513465220.2176368,1513465220.4803536,3334
query,1513465220.480358,1513465220.7557878,3312
query,1513465220.755793,1513465220.9574192,1831
query,1513465220.9574232,1513465221.232232,1645
query,1513465221.2322388,1513465221.4483197,2753
query,1513465221.448327,1513465221.7001524,2893
query,1513465221.7001574,1513465221.9558444,2924
query,1513465221.9558487,1513465222.1448746,7
query,1513465222.1448786,1513465222.3366308,1668
query,1513465222.3366354,1513465222.555656,1129
query,1513465222.55566,1513465222.760907,786
query,1513465222.7609122,1513465222.959312,519
query,1513465222.959318,1513465223.1551812,2183
query,1513465223.1551871,1513465223.3551788,1009
query,1513465223.3551836,1513465223.6530085,2404
query,1513465223.6530576,1513465223.8747704,2337
query,1513465223.88907,1513465224.3257227,3437
query,1513465224.3257275,1513465224.5646577,1776
query,1513465224.5646622,1513465224.7510283,332
query,1513465224.7510326,1513465225.0003111,2174
query,1513465225.0003173,1513465225.1957948,2802
query,1513465225.195799,1513465225.387986,2192
query,1513465225.3879912,1513465225.6531138,2222
query,1513465225.6531186,1513465225.8996646,685
query,1513465225.899669,1513465226.17055,2949
query,1513465226.17057,1513465226.4032834,2863
query,1513465226.4032881,1513465226.6271145,1967
query,1513465226.627118,1513465226.8205574,1676
query,1513465226.8205616,1513465227.0386329,40
query,1513465227.038637,1513465227.3263156,2020
query,1513465227.3263226,1513465227.5483544,1441
query,1513465227.5483594,1513465227.7703826,288
query,1513465227.7703872,1513465228.0095692,368
query,1513465228.0095737,1513465228.2096417,25
query,1513465228.2096472,1513465228.4039245,56
query,1513465228.403969,1513465228.6909716,3040
query,1513465228.6991863,1513465228.9174464,3250
query,1513465228.9174514,1513465229.1280499,348
query,1513465229.1280541,1513465229.3569887,55
query,1513465229.3569934,1513465229.644972,2750
query,1513465229.644977,1513465229.924845,2384
query,1513465229.9248488,1513465230.1886284,2257
query,1513465230.1886334,1513465230.358914,2246
query,1513465230.3589194,1513465230.565825,1260
query,1513465230.5658305,1513465230.771075,2716
query,1513465230.77108,1513465230.9710696,662
query,1513465230.9710746,1513465231.15878,2070
query,1513465231.158785,1513465231.3718438,1248
query,1513465231.3718472,1513465231.6499639,2677
query,1513465231.649969,1513465231.823484,847
query,1513465231.8234887,1513465231.9890645,612
query,1513465231.989069,1513465232.1865325,2654
query,1513465232.1865401,1513465232.4563532,2186
query,1513465232.4563572,1513465232.6717412,103
query,1513465232.6717446,1513465233.020315,1876
query,1513465233.020375,1513465233.3663955,123
query,1513465233.3745625,1513465233.5286438,559
query,1513465233.5286481,1513465233.7368913,977
query,1513465233.7368956,1513465233.942933,876
query,1513465233.9429371,1513465234.1878688,2779
query,1513465234.1878734,1513465234.3809857,1206
query,1513465234.38099,1513465234.5824268,244
query,1513465234.5824316,1513465234.818369,1004
query,1513465234.8183732,1513465235.0430086,2202
query,1513465235.043013,1513465235.1873884,0
query,1513465235.187392,1513465235.4405649,2985
query,1513465235.440568,1513465235.6218085,922
query,1513465235.6218119,1513465235.8388042,1824
query,1513465235.8388088,1513465236.0545912,1687
query,1513465236.0545952,1513465236.43643,1389
query,1513465236.4364345,1513465236.7331977,2072
query,1513465236.733201,1513465236.9507747,2662
query,1513465236.9507785,1513465237.1204727,462
query,1513465237.1204774,1513465237.2660544,212
query,1513465237.2660587,1513465237.6070547,3274
query,1513465237.6070895,1513465237.8960776,2066
query,1513465237.908183,1513465238.1105235,346
query,1513465238.110527,1513465238.4976134,2401
query,1513465238.4976177,1513465238.7472928,2592
query,1513465238.7472985,1513465238.8954556,220
query,1513465238.895462,1513465239.1839058,3466
query,1513465239.183911,1513465239.42624,2400
query,1513465239.4263008,1513465239.6395218,30
query,1513465239.6395288,1513465239.8371086,2259
query,1513465239.8371136,1513465240.1385443,3603
query,1513465240.138549,1513465240.353225,1028
query,1513465240.353229,1513465240.5822392,2746
query,1513465240.5822432,1513465240.8017488,1360
query,1513465240.8017528,1513465241.0086615,1170
query,1513465241.0086663,1513465241.1757782,743
query,1513465241.175782,1513465241.4595933,3358
query,1513465241.4595976,1513465241.7273374,2635
query,1513465241.7273414,1513465241.9303997,704
query,1513465241.9304054,1513465242.1434708,2210
query,1513465242.143475,1513465242.2740397,5
query,1513465242.274076,1513465242.4828806,2738
query,1513465242.496902,1513465242.6443634,462
query,1513465242.6443684,1513465242.850082,1976
query,1513465242.8500881,1513465243.1117916,2118
query,1513465243.1117969,1513465243.3757193,322
query,1513465243.3757317,1513465243.6382055,3224
query,1513465243.6382086,1513465243.9008934,3366
query,1513465243.900899,1513465244.1091824,2494
query,1513465244.1091874,1513465244.3036637,800
query,1513465244.303669,1513465244.5183685,132
query,1513465244.5183733,1513465244.7356148,1405
query,1513465244.7356205,1513465244.9238698,406
query,1513465244.923878,1513465245.0988724,2293
query,1513465245.0988798,1513465245.447519,3280
query,1513465245.4475238,1513465245.6946356,2694
query,1513465245.69464,1513465245.8754125,322
query,1513465245.8754168,1513465246.0740187,70
query,1513465246.0740225,1513465246.3326848,2565
query,1513465246.3326907,1513465246.5159636,271
query,1513465246.515968,1513465246.689831,294
query,1513465246.689874,1513465246.9471326,2106
query,1513465246.9587522,1513465247.182025,1263
query,1513465247.1820295,1513465247.3760908,1572
query,1513465247.3760953,1513465247.5600688,2202
query,1513465247.5600734,1513465247.7313542,470
query,1513465247.7313583,1513465248.0409374,2950
query,1513465248.0409424,1513465248.241364,708
query,1513465248.2413683,1513465248.4631526,2941
query,1513465248.4631584,1513465248.642603,2909
query,1513465248.6426072,1513465248.8727496,2477
query,1513465248.8727539,1513465249.1189094,1719
query,1513465249.1189134,1513465249.2740324,69
query,1513465249.2740357,1513465249.5213335,2809
query,1513465249.5213373,1513465249.6931927,546
query,1513465249.6931958,1513465249.9676657,3054
query,1513465249.9676707,1513465250.1781635,3203
query,1513465250.1781678,1513465250.4202838,3315
query,1513465250.4202876,1513465250.726311,3112
query,1513465250.726317,1513465250.9911544,5
query,1513465250.9911587,1513465251.2355623,1181
query,1513465251.2356162,1513465251.4876819,2134
query,1513465251.5042553,1513465251.682901,982
query,1513465251.682908,1513465251.8669212,1481
query,1513465251.866926,1513465252.1391232,2132
query,1513465252.1391282,1513465252.358833,864
query,1513465252.3588376,1513465252.5861313,2956
query,1513465252.5861368,1513465252.8198328,3381
query,1513465252.8198383,1513465253.0076408,2700
query,1513465253.0076447,1513465253.1991372,1936
query,1513465253.1991408,1513465253.382753,1333
query,1513465253.3827584,1513465253.5848653,1060
query,1513465253.5848713,1513465253.791303,1948
query,1513465253.7913084,1513465253.9608164,550
query,1513465253.9608226,1513465254.270506,3348
query,1513465254.27051,1513465254.4568968,540
query,1513465254.4569008,1513465254.6781244,1185
query,1513465254.6781285,1513465254.9762235,2361
query,1513465254.976228,1513465255.1459,1168
query,1513465255.145904,1513465255.3997958,2100
query,1513465255.3998008,1513465255.6136775,2864
query,1513465255.6137252,1513465255.821612,2834
query,1513465255.8352554,1513465256.0434797,2706
query,1513465256.0434844,1513465256.285172,1630
query,1513465256.285177,1513465256.4901974,896
query,1513465256.4902024,1513465256.7231414,2743
query,1513465256.7231472,1513465256.9325197,1287
query,1513465256.9325242,1513465257.1849594,169
query,1513465257.1849644,1513465257.4053786,1842
query,1513465257.405384,1513465257.5900831,2230
query,1513465257.5900896,1513465257.861902,684
query,1513465257.8619058,1513465258.1758022,2836
query,1513465258.1758072,1513465258.3781135,826
query,1513465258.3781178,1513465258.6882744,3870
query,1513465258.6882787,1513465258.860421,274
query,1513465258.8604252,1513465259.0512054,1875
query,1513465259.0512092,1513465259.2837846,3059
query,1513465259.2837887,1513465259.5134993,1941
query,1513465259.5135036,1513465259.750323,1708
query,1513465259.7503335,1513465259.9956594,2602
query,1513465259.9956646,1513465260.2215946,2832
query,1513465260.2216446,1513465260.4406323,43
query,1513465260.4538882,1513465260.7314167,2744
query,1513465260.7314208,1513465260.912145,1662
query,1513465260.9121501,1513465261.0989828,279
query,1513465261.098987,1513465261.3280787,2955
query,1513465261.3280835,1513465261.5255234,1869
