tables,1513478646.466773,1513479868.9334896
query,1513479868.9340827,1513479869.3431492,79
query,1513479869.3627043,1513479869.6661541,403
query,1513479869.6661587,1513479869.9641092,315
query,1513479869.9641137,1513479870.22115,83
query,1513479870.2211561,1513479870.5533664,20
query,1513479870.5533721,1513479870.849273,533
query,1513479870.8492777,1513479871.1356542,4
query,1513479871.1356583,1513479871.3914711,16
query,1513479871.3914745,1513479871.6593025,88
query,1513479871.659306,1513479871.9087024,19
query,1513479871.9087057,1513479872.2152076,86
query,1513479872.2152123,1513479872.4476516,391
query,1513479872.4476576,1513479872.6910129,86
query,1513479872.6910174,1513479872.957995,443
query,1513479872.9579988,1513479873.1817393,75
query,1513479873.181743,1513479873.4956095,348
query,1513479873.495614,1513479873.7607963,4
query,1513479873.7608018,1513479873.984648,85
query,1513479873.9846518,1513479874.2643678,5
query,1513479874.2643716,1513479874.490787,86
query,1513479874.490833,1513479874.7997396,92
query,1513479874.8099084,1513479875.089546,140
query,1513479875.0895517,1513479875.4312131,83
query,1513479875.4312167,1513479875.6847088,568
query,1513479875.6847136,1513479875.9438417,36
query,1513479875.9438453,1513479876.1829083,86
query,1513479876.1829119,1513479876.4491065,86
query,1513479876.4491098,1513479876.7058067,86
query,1513479876.7058105,1513479876.9939413,86
query,1513479876.9939466,1513479877.2642322,86
query,1513479877.2642362,1513479877.5370145,3
query,1513479877.537025,1513479877.7971532,7
query,1513479877.797157,1513479878.0712626,700
query,1513479878.0712662,1513479878.3677797,109
query,1513479878.3677838,1513479878.6091828,661
query,1513479878.609187,1513479878.9919705,328
query,1513479878.991974,1513479879.2529576,1
query,1513479879.2529616,1513479879.4947288,285
query,1513479879.4947333,1513479879.7275605,354
query,1513479879.727564,1513479879.9919908,177
query,1513479879.9920368,1513479880.287198,856
query,1513479880.29501,1513479880.5271015,774
query,1513479880.527106,1513479880.8013163,794
query,1513479880.801322,1513479881.0425465,1143
query,1513479881.0425491,1513479881.2676048,107
query,1513479881.2676084,1513479881.510528,685
query,1513479881.510533,1513479881.8878818,645
query,1513479881.8878865,1513479882.1670766,1260
query,1513479882.1670816,1513479882.4649086,1
query,1513479882.4649138,1513479882.7148523,1
query,1513479882.7148557,1513479883.0347974,435
query,1513479883.0348024,1513479883.2420998,0
query,1513479883.2421036,1513479883.5255795,1248
query,1513479883.5255845,1513479883.7876577,244
query,1513479883.7876623,1513479884.068053,173
query,1513479884.068057,1513479884.2672844,243
query,1513479884.2672884,1513479884.50345,412
query,1513479884.5034556,1513479884.7808237,656
query,1513479884.7808292,1513479885.0087147,323
query,1513479885.00872,1513479885.294186,7
