tables,1513503737.3572705,1513504483.7169724
query,1513504483.71786,1513504483.9994686,97
query,1513504484.0161555,1513504484.3036468,675
query,1513504484.3036542,1513504484.513952,685
query,1513504484.5139697,1513504484.7056396,93
query,1513504484.7056448,1513504484.8605273,84
query,1513504484.8605318,1513504485.1543732,1306
query,1513504485.1543787,1513504485.3089554,38
query,1513504485.308959,1513504485.446254,46
query,1513504485.4462583,1513504485.6423514,141
query,1513504485.6423552,1513504485.8124733,33
query,1513504485.812477,1513504485.9725614,93
query,1513504485.972566,1513504486.2033632,879
query,1513504486.2033677,1513504486.3580186,93
query,1513504486.3580217,1513504486.568083,793
query,1513504486.5680861,1513504486.7173343,118
query,1513504486.7173388,1513504486.9353883,682
query,1513504486.9354002,1513504487.116175,18
query,1513504487.116179,1513504487.302315,94
query,1513504487.30232,1513504487.4641001,37
query,1513504487.4641035,1513504487.6337183,90
query,1513504487.6337714,1513504487.85849,273
query,1513504487.8664649,1513504488.0665236,531
query,1513504488.06653,1513504488.2446122,92
query,1513504488.2446175,1513504488.4497952,931
query,1513504488.4498007,1513504488.6530037,57
query,1513504488.6530085,1513504488.881045,93
query,1513504488.8810494,1513504489.153052,93
query,1513504489.153056,1513504489.3222156,93
query,1513504489.3222227,1513504489.4753284,93
query,1513504489.4753327,1513504489.6724591,93
query,1513504489.6724634,1513504489.83482,35
query,1513504489.834825,1513504490.014387,76
query,1513504490.0143917,1513504490.3312156,1441
query,1513504490.3312204,1513504490.5099642,391
query,1513504490.5099678,1513504490.7464547,1504
query,1513504490.746459,1513504490.969375,868
query,1513504490.9693794,1513504491.1213512,18
query,1513504491.121355,1513504491.4282641,706
query,1513504491.4282691,1513504491.6895387,810
query,1513504491.6895432,1513504491.9112341,474
query,1513504491.9112823,1513504492.2868898,1746
query,1513504492.294802,1513504492.5799983,1313
query,1513504492.5800023,1513504492.8359063,1341
query,1513504492.8359125,1513504493.2817657,1863
query,1513504493.2817817,1513504493.4321272,249
query,1513504493.432132,1513504493.7189438,1432
query,1513504493.7189481,1513504493.99293,1200
query,1513504493.9929342,1513504494.7257853,1880
query,1513504494.7257884,1513504494.8775048,4
query,1513504494.8775096,1513504495.0422962,8
query,1513504495.042302,1513504495.308069,1184
query,1513504495.3080728,1513504495.4129322,0
query,1513504495.4129367,1513504496.0824888,1974
