tables,1513189172.6556976,1513189847.0943625
query,1513189847.0951939,1513189847.3795338,1604
query,1513189847.3946211,1513189847.574853,1704
query,1513189847.5748577,1513189847.734931,723
query,1513189847.7349346,1513189847.8383698,285
query,1513189847.838374,1513189847.9266055,1726
query,1513189847.9266095,1513189848.0057442,226
query,1513189848.0057485,1513189848.0786514,1053
query,1513189848.0786548,1513189848.1844864,239
query,1513189848.18449,1513189848.270433,1021
query,1513189848.2704365,1513189848.347622,278
query,1513189848.347626,1513189848.4257588,2
query,1513189848.4257624,1513189848.5067265,447
query,1513189848.5067303,1513189848.5925236,1154
query,1513189848.5925272,1513189848.6921818,239
query,1513189848.6921852,1513189848.7769294,755
query,1513189848.776933,1513189848.8555875,674
query,1513189848.85559,1513189848.9411194,1105
query,1513189848.9411223,1513189849.0340517,1555
query,1513189849.0340545,1513189849.134409,239
query,1513189849.1344116,1513189849.2132947,233
query,1513189849.2133336,1513189849.3121269,272
query,1513189849.325957,1513189849.4200523,239
query,1513189849.4200578,1513189849.4940565,474
query,1513189849.4940598,1513189849.5835502,1615
query,1513189849.5835538,1513189849.6778078,239
query,1513189849.6778116,1513189849.7504501,214
query,1513189849.750454,1513189849.8375893,2204
query,1513189849.837593,1513189849.9138162,377
query,1513189849.9138203,1513189849.9886532,192
query,1513189849.9886568,1513189850.0782757,1019
query,1513189850.0782793,1513189850.1628425,1441
query,1513189850.1628458,1513189850.2454634,542
query,1513189850.2454658,1513189850.3295975,949
query,1513189850.3296022,1513189850.4125888,1063
query,1513189850.4125922,1513189850.496904,619
query,1513189850.4969063,1513189850.5868187,239
query,1513189850.5868213,1513189850.6562495,330
query,1513189850.6562529,1513189850.7324605,1379
query,1513189850.7324643,1513189850.8172953,240
query,1513189850.817301,1513189850.9010355,1176
query,1513189850.901085,1513189850.999526,1154
query,1513189851.0134518,1513189851.1100502,2290
query,1513189851.1100533,1513189851.1893494,259
query,1513189851.1893547,1513189851.2743473,552
query,1513189851.2743504,1513189851.3707106,239
query,1513189851.3707147,1513189851.4605339,239
query,1513189851.460538,1513189851.5372458,468
query,1513189851.5372493,1513189851.6337054,1403
query,1513189851.633709,1513189851.7258272,938
query,1513189851.7258308,1513189851.8151796,240
query,1513189851.815183,1513189851.9012916,982
query,1513189851.901295,1513189851.974543,558
query,1513189851.9745455,1513189852.0620039,1102
query,1513189852.0620072,1513189852.1398492,919
query,1513189852.1398523,1513189852.2190108,19
query,1513189852.2190146,1513189852.301762,783
query,1513189852.3017662,1513189852.3900847,2193
query,1513189852.3900878,1513189852.4647079,188
query,1513189852.464712,1513189852.5380101,208
query,1513189852.5380144,1513189852.617041,893
query,1513189852.617074,1513189852.717067,238
query,1513189852.7299504,1513189852.8144248,940
query,1513189852.8144283,1513189852.8965507,941
query,1513189852.896556,1513189852.9857616,1007
query,1513189852.9857645,1513189853.0730882,1631
query,1513189853.0730908,1513189853.153124,532
query,1513189853.1531293,1513189853.2418242,1696
query,1513189853.2418275,1513189853.328791,933
query,1513189853.3287945,1513189853.4103723,695
query,1513189853.4103763,1513189853.5010302,1900
query,1513189853.5010343,1513189853.6021454,239
query,1513189853.6021492,1513189853.7069826,2547
query,1513189853.7069874,1513189853.7900121,2506
query,1513189853.790017,1513189854.0868356,2650
query,1513189854.0868402,1513189854.180734,3232
query,1513189854.1807382,1513189854.265587,2281
query,1513189854.265591,1513189854.382938,4296
query,1513189854.382942,1513189854.4805055,3484
query,1513189854.4805088,1513189854.5656,584
query,1513189854.5656035,1513189854.646568,2154
query,1513189854.646604,1513189854.7429664,436
query,1513189854.756844,1513189854.8371346,1008
query,1513189854.8371377,1513189854.9281476,1066
query,1513189854.9281507,1513189855.0335622,3747
query,1513189855.0335658,1513189855.133233,3904
query,1513189855.1332364,1513189855.2399104,4702
query,1513189855.239914,1513189855.3229165,2018
query,1513189855.3229198,1513189855.3763635,1
query,1513189855.3763666,1513189855.4585304,3581
query,1513189855.4585338,1513189855.537886,1741
query,1513189855.537889,1513189855.627019,3050
query,1513189855.6270223,1513189855.7191985,4276
query,1513189855.7192018,1513189855.7900333,2200
query,1513189855.7900367,1513189855.8431993,1
query,1513189855.843202,1513189855.9286785,2016
query,1513189855.9286826,1513189856.0361588,4669
query,1513189856.0361624,1513189856.1206663,2011
query,1513189856.1206706,1513189856.200498,1598
query,1513189856.200502,1513189856.2734208,74
query,1513189856.2734249,1513189856.3568408,1998
query,1513189856.35688,1513189856.460654,1070
query,1513189856.47526,1513189856.5673623,1556
query,1513189856.567366,1513189856.670569,3006
query,1513189856.6705723,1513189856.7539356,878
query,1513189856.7539399,1513189856.850253,4793
query,1513189856.8502562,1513189856.9318242,1793
query,1513189856.9318278,1513189857.050148,4229
query,1513189857.0501523,1513189857.130847,1088
query,1513189857.13085,1513189857.2056503,1282
query,1513189857.2056544,1513189857.3051152,3311
query,1513189857.305119,1513189857.3819158,337
query,1513189857.38192,1513189857.4763806,1474
query,1513189857.4763846,1513189857.5766256,4835
query,1513189857.5766299,1513189857.6536796,1808
query,1513189857.653683,1513189857.7505875,3234
query,1513189857.7505915,1513189857.8374653,3557
query,1513189857.8374696,1513189857.917851,1181
query,1513189857.9178545,1513189857.9934757,984
query,1513189857.9934793,1513189858.0736077,2001
query,1513189858.073612,1513189858.1535256,2064
query,1513189858.1535633,1513189858.2755723,4209
query,1513189858.2892253,1513189858.382065,3081
query,1513189858.3820686,1513189858.4640021,1377
query,1513189858.4640055,1513189858.5588539,2954
query,1513189858.5588577,1513189858.6556532,1795
query,1513189858.6556575,1513189858.7501438,4362
query,1513189858.750147,1513189858.840671,2895
