tables,1512980007.5531063,1512982420.7824802
query,1512982420.7911227,1512982421.1065583,1512982420.804834,1512982421.1031659,1512982420.9496543,5902,2430.5,0
query,1512982421.1070719,1512982421.37628,1512982421.1074674,1512982421.375414,1512982421.153544,10535,4451.75,0
query,1512982421.376409,1512982421.426718,1512982421.3766327,1512982421.4259028,1512982421.3883698,8776,1213.0,0
query,1512982421.4273424,1512982421.4670243,1512982421.427527,1512982421.4659524,1512982421.440222,4069,538.25,0
query,1512982421.467142,1512982421.5404408,1512982421.467407,1512982421.539639,1512982421.4942503,8357,3542.75,0
query,1512982421.54055,1512982421.5812106,1512982421.5416362,1512982421.580364,1512982421.5631409,3009,386.875,0
query,1512982421.5813234,1512982421.610969,1512982421.58154,1512982421.6101823,1512982421.608994,85,37.0,0
query,1512982421.6115716,1512982422.9927037,1512982421.6117823,1512982422.9918416,1512982421.933013,8533,1090.0,0
query,1512982422.9928281,1512982423.0153968,1512982422.9934602,1512982423.0147004,1512982423.0056133,3156,494.375,0
query,1512982423.0154862,1512982423.03852,1512982423.0156603,1512982423.0378373,1512982423.0276582,2168,282.25,0
query,1512982423.038636,1512982423.052254,1512982423.0389535,1512982423.0520258,1512982423.0519414,0,0.0,0
query,1512982423.052334,1512982423.0679119,1512982423.0526187,1512982423.0672174,1512982423.0658338,170,46.875,0
query,1512982423.068002,1512982423.168782,1512982423.0682218,1512982423.167968,1512982423.0874753,14024,2201.0,0
query,1512982423.1688988,1512982423.913752,1512982423.1690934,1512982423.9128141,1512982423.3298016,8535,1090.25,0
query,1512982423.9138649,1512982423.9658928,1512982423.9141364,1512982423.9651535,1512982423.9253802,11752,1685.875,0
query,1512982423.9659977,1512982424.0053477,1512982423.9661722,1512982423.9962869,1512982423.9771786,6538,897.5,0
query,1512982424.0054526,1512982424.0676062,1512982424.0056336,1512982424.0668037,1512982424.0184903,13235,2188.125,0
query,1512982424.0677352,1512982424.1329477,1512982424.067921,1512982424.1322026,1512982424.0807023,9609,2816.5,0
query,1512982424.1330497,1512982425.2055235,1512982424.1332574,1512982425.2046168,1512982424.3825972,8534,1090.125,0
query,1512982425.20562,1512982425.2265482,1512982425.2058883,1512982425.2258737,1512982425.2187266,1866,240.0,0
query,1512982425.2346973,1512982425.384808,1512982425.2348845,1512982425.3839293,1512982425.290963,7879,1003.625,0
query,1512982425.3849225,1512982426.4980965,1512982425.3851101,1512982426.497263,1512982425.5364842,8533,1090.0,0
query,1512982426.4982076,1512982426.5133648,1512982426.4985878,1512982426.5126739,1512982426.510913,146,46.375,0
query,1512982426.5134587,1512982426.6007006,1512982426.5136356,1512982426.5999296,1512982426.5260222,10803,3759.875,0
query,1512982426.6008162,1512982427.1888278,1512982426.6010344,1512982427.1879616,1512982426.7528305,8529,1089.5,0
query,1512982427.1889606,1512982427.204322,1512982427.1893656,1512982427.2037055,1512982427.2032504,321,84.0,0
query,1512982427.2044232,1512982427.2674944,1512982427.2048438,1512982427.2667775,1512982427.2185585,4061,3064.625,0
query,1512982427.267598,1512982427.2841167,1512982427.2678213,1512982427.2834167,1512982427.2802818,903,130.0,0
query,1512982427.284207,1512982427.2987032,1512982427.284543,1512982427.2980468,1512982427.297632,49,13.125,0
query,1512982427.2988122,1512982427.388919,1512982427.298988,1512982427.388084,1512982427.311494,14064,2301.5,0
query,1512982427.3890285,1512982427.4491384,1512982427.3892148,1512982427.4482841,1512982427.401919,11467,2118.625,0
query,1512982427.449232,1512982427.4748714,1512982427.449414,1512982427.474176,1512982427.46213,3807,540.5,0
query,1512982427.4749653,1512982427.5400944,1512982427.4751444,1512982427.539276,1512982427.48747,14524,2236.375,0
query,1512982427.5401998,1512982427.6200721,1512982427.5403907,1512982427.6192646,1512982427.5531766,13213,2168.75,0
query,1512982427.6201756,1512982427.67184,1512982427.620368,1512982427.6711159,1512982427.6332562,7523,1060.625,0
query,1512982427.6719558,1512982428.4884145,1512982427.6721385,1512982428.4875593,1512982427.823267,8534,1090.125,0
query,1512982428.4885135,1512982428.511119,1512982428.4888258,1512982428.5103567,1512982428.5008976,2966,387.5,0
query,1512982428.511211,1512982428.5783784,1512982428.5113897,1512982428.577579,1512982428.5241413,10638,2739.625,0
query,1512982428.5784733,1512982429.0687468,1512982428.578659,1512982429.06789,1512982428.6969352,8735,1113.5,0
query,1512982429.0688689,1512982429.1411397,1512982429.0691237,1512982429.1402888,1512982429.0817742,13142,2235.75,0
query,1512982429.1481597,1512982429.2065086,1512982429.1483555,1512982429.205697,1512982429.160108,13885,2223.625,0
query,1512982429.2066047,1512982429.2913435,1512982429.207021,1512982429.290579,1512982429.218613,7703,4470.5,0
query,1512982429.291436,1512982429.384105,1512982429.2916718,1512982429.3833542,1512982429.3173628,7826,991.75,0
query,1512982429.3842185,1512982429.431011,1512982429.3844235,1512982429.430228,1512982429.3974268,7062,979.5,0
query,1512982429.4311066,1512982430.2510135,1512982429.4312892,1512982430.2501547,1512982429.5792289,8533,1090.0,0
query,1512982430.2511303,1512982431.2860754,1512982430.2514188,1512982431.2852304,1512982430.4012964,8534,1090.125,0
query,1512982431.2861717,1512982431.322682,1512982431.2864316,1512982431.3219697,1512982431.2990336,4504,598.0,0
query,1512982431.3227744,1512982431.3653378,1512982431.3229513,1512982431.3645432,1512982431.335912,9354,1464.25,0
query,1512982431.3654323,1512982431.4070377,1512982431.3656147,1512982431.4060516,1512982431.3778524,9510,1326.0,0
query,1512982431.4071352,1512982431.9839225,1512982431.4073234,1512982431.9830477,1512982431.5367396,8594,1097.875,0
