tables,1508759707.402809,1508761171.6062562
query,1508761171.606383,1508761172.246991,23
query,1508761172.2498548,1508761172.6509762,1749
query,1508761172.6509798,1508761172.7758858,192
query,1508761172.7758894,1508761172.883465,249
query,1508761172.8834689,1508761173.0121028,209
query,1508761173.0121064,1508761173.655525,2398
query,1508761173.6555285,1508761173.7471957,112
query,1508761173.7471993,1508761173.851942,1417
query,1508761173.8519456,1508761173.9191139,179
query,1508761173.9191163,1508761173.968232,16
query,1508761173.968235,1508761174.043128,21
query,1508761174.0431309,1508761174.1169684,0
query,1508761174.116972,1508761174.2766433,2120
query,1508761174.2766466,1508761174.4011786,0
query,1508761174.401182,1508761174.4765456,645
query,1508761174.476549,1508761174.549431,2
query,1508761174.5494347,1508761174.6312811,1342
query,1508761174.6312842,1508761174.7151294,1
query,1508761174.7151327,1508761174.8394685,343
query,1508761174.8394716,1508761174.9474883,37
query,1508761174.9475048,1508761175.012768,164
query,1508761175.0152414,1508761175.1592166,961
query,1508761175.1592205,1508761175.239918,641
query,1508761175.2399216,1508761175.3035207,18
query,1508761175.303524,1508761175.3997536,66
query,1508761175.399757,1508761175.4911175,1617
query,1508761175.4911213,1508761175.5885823,1519
query,1508761175.5885859,1508761175.7545104,708
query,1508761175.7545137,1508761175.8119514,9
query,1508761175.811955,1508761175.9356086,992
query,1508761175.9356124,1508761176.0221853,485
query,1508761176.022189,1508761176.1012316,0
query,1508761176.101235,1508761176.2073383,119
query,1508761176.2073414,1508761176.2822404,441
query,1508761176.282244,1508761176.3995104,149
query,1508761176.399514,1508761176.5438192,1398
query,1508761176.5438232,1508761176.686334,6
query,1508761176.6863375,1508761176.805894,1892
query,1508761176.8058972,1508761176.900181,523
query,1508761176.9001853,1508761176.9771721,893
query,1508761176.977188,1508761177.2505362,2648
query,1508761177.253009,1508761177.3967586,1473
query,1508761177.3967621,1508761177.5558155,321
query,1508761177.555819,1508761177.6791444,19
query,1508761177.6791482,1508761177.8272305,271
query,1508761177.827234,1508761177.9307637,266
query,1508761177.9307675,1508761178.0795476,1038
query,1508761178.0795515,1508761178.2031326,2000
query,1508761178.2031362,1508761178.2677445,5
query,1508761178.2677479,1508761178.3151221,1
query,1508761178.3151257,1508761178.3968341,0
query,1508761178.3968382,1508761178.4910061,618
query,1508761178.4910097,1508761178.5728908,0
query,1508761178.572895,1508761178.6345932,751
query,1508761178.6345966,1508761178.7550654,1760
query,1508761178.7550695,1508761178.9560003,2344
query,1508761178.956004,1508761179.0468216,4
query,1508761179.0468252,1508761179.2151093,2010
query,1508761179.2151127,1508761179.2834814,1697
query,1508761179.283485,1508761179.3297863,0
query,1508761179.3298025,1508761179.4371412,0
query,1508761179.4385555,1508761179.4965234,1
query,1508761179.4965267,1508761179.556163,715
query,1508761179.5561662,1508761179.6390526,645
query,1508761179.639056,1508761179.7146592,87
query,1508761179.7146628,1508761179.7988455,1
query,1508761179.7988489,1508761179.9911683,2430
query,1508761179.9911718,1508761180.054656,17
query,1508761180.0546591,1508761180.1043732,1285
query,1508761180.104376,1508761180.1787682,3
query,1508761180.1787715,1508761180.2596083,7
query,1508761180.2596116,1508761180.4637938,2640
query,1508761180.4637976,1508761180.5119605,261
query,1508761180.5119638,1508761180.6110075,35
query,1508761180.6110108,1508761180.6790032,250
query,1508761180.6790073,1508761180.747055,14
query,1508761180.7470584,1508761180.831556,1988
query,1508761180.8315594,1508761180.8714857,189
query,1508761180.8714893,1508761180.9737537,157
query,1508761180.9737575,1508761181.0853026,9
query,1508761181.0853193,1508761181.1518753,117
query,1508761181.1543767,1508761181.2550762,13
query,1508761181.2550795,1508761181.3883855,194
query,1508761181.3883893,1508761181.4517472,795
query,1508761181.451751,1508761181.4924212,276
query,1508761181.4924252,1508761181.6110754,273
query,1508761181.6110792,1508761181.6869361,2
query,1508761181.6869402,1508761181.7632997,156
query,1508761181.7633038,1508761181.8122125,131
query,1508761181.812216,1508761181.9050326,0
query,1508761181.9050362,1508761181.9580944,0
query,1508761181.9580972,1508761182.034867,34
query,1508761182.0348701,1508761182.1087267,0
query,1508761182.1087306,1508761182.1512513,0
query,1508761182.1512554,1508761182.2690501,1642
query,1508761182.2690535,1508761182.35095,13
query,1508761182.3509536,1508761182.4266737,5
query,1508761182.4266906,1508761182.4716837,264
query,1508761182.471687,1508761182.5386882,41
query,1508761182.5386913,1508761182.623137,17
query,1508761182.623152,1508761182.6908596,70
query,1508761182.6932807,1508761182.8001325,2424
query,1508761182.8001359,1508761182.8669972,209
query,1508761182.8670013,1508761182.9463964,1505
query,1508761182.9463997,1508761183.1270082,2280
query,1508761183.1270113,1508761183.2090912,873
query,1508761183.2090943,1508761183.2747557,4
query,1508761183.2747588,1508761183.383018,11
query,1508761183.3830209,1508761183.4597538,141
query,1508761183.4597573,1508761183.7874043,1869
query,1508761183.7874079,1508761183.947422,3430
query,1508761183.9474254,1508761184.0342789,1996
query,1508761184.034282,1508761184.098809,1146
query,1508761184.0988128,1508761184.3714697,4196
query,1508761184.371474,1508761184.444975,0
query,1508761184.444979,1508761184.55111,34
query,1508761184.5511136,1508761184.591697,935
query,1508761184.5917003,1508761184.7391086,24
query,1508761184.7391121,1508761184.9832597,987
query,1508761184.9832635,1508761185.0670133,26
query,1508761185.0670295,1508761185.138799,111
query,1508761185.1412966,1508761185.5745163,2355
query,1508761185.57452,1508761185.7447314,55
query,1508761185.7447348,1508761185.8294322,0
query,1508761185.8294365,1508761185.9141169,522
query,1508761185.9141204,1508761185.98891,508
query,1508761185.9889133,1508761186.0668895,27
query,1508761186.066893,1508761186.171459,1594
query,1508761186.1714628,1508761186.2512147,2178
query,1508761186.2512178,1508761186.3271625,89
query,1508761186.327166,1508761186.4051707,187
query,1508761186.4051745,1508761186.4669218,119
query,1508761186.4669247,1508761186.5112398,4
query,1508761186.5112426,1508761186.5907812,11
query,1508761186.5907855,1508761186.6637235,182
query,1508761186.6637273,1508761186.7307732,129
query,1508761186.730777,1508761186.7793565,585
query,1508761186.77936,1508761186.8192098,678
query,1508761186.8192134,1508761186.903608,4
query,1508761186.9036112,1508761187.0312824,2171
query,1508761187.0312982,1508761187.4515145,2384
query,1508761187.4542701,1508761187.622518,2355
query,1508761187.6225216,1508761187.7236822,34
query,1508761187.7236857,1508761187.7949133,338
query,1508761187.7949173,1508761187.8394852,222
query,1508761187.8394885,1508761187.8877387,147
query,1508761187.8877423,1508761187.9501154,0
query,1508761187.9501188,1508761188.1463585,3522
query,1508761188.146362,1508761188.3702178,3395
query,1508761188.3702214,1508761188.4869797,844
query,1508761188.4869833,1508761188.6134095,0
query,1508761188.613413,1508761188.684172,278
query,1508761188.6841755,1508761188.7678776,1284
query,1508761188.7678812,1508761188.8164282,25
query,1508761188.8164313,1508761188.8801832,43
query,1508761188.8801873,1508761189.1770732,2270
query,1508761189.177077,1508761189.323707,2246
query,1508761189.3237112,1508761189.3990095,1029
query,1508761189.3990128,1508761189.5109973,7
query,1508761189.5110013,1508761189.5868616,9
query,1508761189.5868764,1508761189.6628616,301
query,1508761189.6654055,1508761189.7387187,0
query,1508761189.738722,1508761189.8308842,1110
query,1508761189.8308878,1508761189.8966799,0
query,1508761189.8966837,1508761189.9687326,0
query,1508761189.9687362,1508761190.0347245,3
query,1508761190.0347276,1508761190.1613746,10
query,1508761190.161378,1508761190.2448661,0
