tables,1508895438.6436927,1508895646.5703483
query,1508895646.5707097,1508895646.6842356,2773
query,1508895646.6976361,1508895646.8342273,7893
query,1508895646.8342316,1508895646.9474845,7403
query,1508895646.9474888,1508895647.0112252,2809
query,1508895647.0112295,1508895647.0686712,743
query,1508895647.0686758,1508895647.1866112,16820
query,1508895647.1866152,1508895647.235037,489
query,1508895647.2350414,1508895647.297676,882
query,1508895647.2976794,1508895647.345178,2066
query,1508895647.3451817,1508895647.3941596,579
query,1508895647.3941631,1508895647.460462,2915
query,1508895647.4604654,1508895647.576992,14557
query,1508895647.5769958,1508895647.640059,2915
query,1508895647.6400633,1508895647.7257211,8188
query,1508895647.7257247,1508895647.7883964,1821
query,1508895647.7884004,1508895647.8584342,7972
query,1508895647.858438,1508895647.8915448,315
query,1508895647.8915482,1508895647.982138,2903
query,1508895647.982142,1508895648.0271728,404
query,1508895648.0271764,1508895648.1027358,2915
query,1508895648.1027799,1508895648.1663463,2998
query,1508895648.1801143,1508895648.2262032,3978
query,1508895648.226207,1508895648.2982278,2895
query,1508895648.2982311,1508895648.3794868,8553
query,1508895648.3794906,1508895648.4178593,1163
query,1508895648.4178631,1508895648.4884932,2915
query,1508895648.4884975,1508895648.5841224,2915
query,1508895648.5841265,1508895648.6856747,2915
query,1508895648.6856787,1508895648.7479818,2915
query,1508895648.7479851,1508895648.8255334,2915
query,1508895648.8255367,1508895648.8986108,10
query,1508895648.898615,1508895648.9470835,2058
query,1508895648.9470878,1508895649.1139188,27242
query,1508895649.1139226,1508895649.1889575,4101
query,1508895649.188962,1508895649.3316166,27233
query,1508895649.3316214,1508895649.4005938,5697
query,1508895649.4005976,1508895649.4430356,26
query,1508895649.4430397,1508895649.5074167,4214
query,1508895649.5074208,1508895649.6409402,11772
query,1508895649.6409442,1508895649.7087696,8178
query,1508895649.708848,1508895649.8870244,33302
query,1508895649.8993993,1508895650.044399,29691
query,1508895650.0444033,1508895650.246147,30044
query,1508895650.2461517,1508895650.4368749,19896
query,1508895650.4368787,1508895650.46897,2315
query,1508895650.468974,1508895650.584356,18174
query,1508895650.5843601,1508895650.6824927,15268
query,1508895650.682497,1508895650.859236,18853
query,1508895650.8592403,1508895650.8825994,7
query,1508895650.8826032,1508895650.9306812,3818
query,1508895650.9306853,1508895650.9970474,7231
query,1508895650.997052,1508895651.0406811,0
query,1508895651.0406852,1508895651.1954787,19134
query,1508895651.1954834,1508895651.2598822,10921
query,1508895651.2598865,1508895651.303733,5559
query,1508895651.303737,1508895651.373742,6104
query,1508895651.3737454,1508895651.4409244,11674
query,1508895651.4409292,1508895651.5593688,14314
query,1508895651.5593731,1508895651.6642084,15639
query,1508895651.6642122,1508895651.7068167,1007
query,1508895651.7068553,1508895651.7664642,9
query,1508895651.7795804,1508895651.8568356,6963
query,1508895651.8568394,1508895652.067035,21258
query,1508895652.067039,1508895652.2199647,18079
query,1508895652.2199686,1508895652.2716804,2417
query,1508895652.2716856,1508895652.387923,14456
query,1508895652.3879266,1508895652.4569547,14014
query,1508895652.4569588,1508895652.614361,30514
query,1508895652.6143656,1508895652.7259188,22834
query,1508895652.7259233,1508895652.785328,8897
query,1508895652.785333,1508895652.8659828,15395
query,1508895652.8659859,1508895652.966396,18749
query,1508895652.9663994,1508895652.9880152,5
query,1508895652.9880185,1508895653.0600967,14126
query,1508895653.0601003,1508895653.105178,4577
query,1508895653.105182,1508895653.1701827,4525
query,1508895653.1701863,1508895653.1857686,1
query,1508895653.1857722,1508895653.2240167,3430
query,1508895653.2240207,1508895653.291442,9587
query,1508895653.291446,1508895653.4111595,27057
query,1508895653.4112012,1508895653.5215485,18312
query,1508895653.5350585,1508895653.5810812,2892
query,1508895653.5810847,1508895653.663182,17442
query,1508895653.6631863,1508895653.696169,184
query,1508895653.6961727,1508895653.7442136,6061
query,1508895653.7442172,1508895653.825002,13008
query,1508895653.8250055,1508895653.8313274,0
query,1508895653.8313305,1508895653.9512877,17599
query,1508895653.9512928,1508895654.004439,4630
query,1508895654.0044432,1508895654.1086652,12424
query,1508895654.1086693,1508895654.2065144,17835
query,1508895654.2065184,1508895654.2679422,4561
query,1508895654.2679467,1508895654.3160288,3696
query,1508895654.3160326,1508895654.3610516,6225
query,1508895654.3610556,1508895654.3984714,2364
query,1508895654.3984754,1508895654.4941533,16929
query,1508895654.4941573,1508895654.5468092,2994
query,1508895654.5468137,1508895654.6391487,17974
query,1508895654.6391528,1508895654.74308,21999
query,1508895654.7430844,1508895654.8938367,19781
query,1508895654.893886,1508895654.9312432,156
query,1508895654.9433649,1508895655.060018,12639
query,1508895655.060022,1508895655.1392555,7951
query,1508895655.1392598,1508895655.185592,395
query,1508895655.1855958,1508895655.2405946,4483
query,1508895655.2405992,1508895655.3330472,8271
query,1508895655.3330512,1508895655.4578314,15758
query,1508895655.4578354,1508895655.559357,17446
query,1508895655.5593612,1508895655.6230764,681
query,1508895655.6230814,1508895655.8152316,22041
query,1508895655.8152359,1508895655.9180427,9455
query,1508895655.9180477,1508895655.9988728,5178
query,1508895655.9988773,1508895656.0557938,1411
query,1508895656.0557985,1508895656.1053941,4193
query,1508895656.1053975,1508895656.1629217,1817
query,1508895656.1629255,1508895656.282176,439
query,1508895656.2821803,1508895656.392401,19233
query,1508895656.392405,1508895656.5697594,33209
query,1508895656.569764,1508895656.611888,2378
query,1508895656.6118917,1508895656.6441512,494
query,1508895656.6441894,1508895656.6843581,524
query,1508895656.6965272,1508895656.7419393,3828
query,1508895656.7419426,1508895656.8901658,22172
query,1508895656.8901694,1508895656.941288,72
query,1508895656.941292,1508895656.9990652,6456
query,1508895656.9990695,1508895657.134488,23330
query,1508895657.1344917,1508895657.195277,1442
query,1508895657.1952815,1508895657.3126822,23877
query,1508895657.312686,1508895657.3643537,1653
query,1508895657.3643577,1508895657.4733853,17817
query,1508895657.473389,1508895657.5242698,6902
query,1508895657.524274,1508895657.6079729,13249
query,1508895657.607977,1508895657.6367486,980
query,1508895657.6367521,1508895657.696212,1138
query,1508895657.6962159,1508895657.8432674,22419
query,1508895657.8432715,1508895657.8722677,83
query,1508895657.8722713,1508895657.8948696,770
query,1508895657.8948731,1508895657.9791293,15718
query,1508895657.9791338,1508895658.023728,1411
query,1508895658.023732,1508895658.1092546,4970
query,1508895658.1093035,1508895658.18551,11641
query,1508895658.2030873,1508895658.3171117,16967
query,1508895658.317116,1508895658.3790538,5536
query,1508895658.3790581,1508895658.427355,3769
query,1508895658.4273593,1508895658.511928,15408
query,1508895658.5119324,1508895658.6343298,21992
query,1508895658.6343336,1508895658.6845074,6655
query,1508895658.6845114,1508895658.7192848,4136
query,1508895658.7192888,1508895658.8158047,18269
query,1508895658.8158088,1508895658.8713284,9796
query,1508895658.8713326,1508895658.950276,7091
query,1508895658.9502802,1508895658.9919298,44
query,1508895658.9919338,1508895659.127622,12386
query,1508895659.127626,1508895659.2193997,9691
query,1508895659.2194037,1508895659.2588663,267
query,1508895659.2588708,1508895659.3284047,2161
query,1508895659.3284092,1508895659.4334037,9757
query,1508895659.433408,1508895659.513795,14626
query,1508895659.513799,1508895659.6941762,19728
query,1508895659.6941805,1508895659.819233,15922
query,1508895659.8192785,1508895659.9653747,11697
query,1508895659.9776227,1508895660.1012,17465
query,1508895660.1012037,1508895660.2319398,12103
query,1508895660.2319434,1508895660.3113327,4359
query,1508895660.3113372,1508895660.3709345,1000
query,1508895660.370938,1508895660.4313762,870
query,1508895660.4313805,1508895660.5613482,13054
query,1508895660.5613518,1508895660.8054159,21935
query,1508895660.8054197,1508895660.8622735,3616
query,1508895660.8622777,1508895660.935034,933
query,1508895660.9350379,1508895661.022284,15172
query,1508895661.022288,1508895661.0628572,3322
query,1508895661.0628607,1508895661.0961237,3655
query,1508895661.0961273,1508895661.2067947,13064
query,1508895661.2067988,1508895661.3553612,18803
query,1508895661.3553648,1508895661.5021238,29187
query,1508895661.5021281,1508895661.553066,1184
query,1508895661.5530698,1508895661.6030126,422
query,1508895661.6030164,1508895661.713616,14219
query,1508895661.71362,1508895661.8732455,10094
query,1508895661.8732958,1508895662.0313613,7352
query,1508895662.0433674,1508895662.0918987,6626
query,1508895662.0919025,1508895662.2259266,17371
query,1508895662.225931,1508895662.3703241,17979
query,1508895662.370328,1508895662.494945,15480
query,1508895662.4949489,1508895662.5796804,5663
query,1508895662.5796852,1508895662.6587217,5085
query,1508895662.6587257,1508895662.7199235,3386
query,1508895662.7199275,1508895662.7790813,230
query,1508895662.779085,1508895662.9352615,17675
query,1508895662.9352658,1508895663.029492,3031
query,1508895663.0294962,1508895663.1093378,9369
query,1508895663.1093419,1508895663.1396797,77
query,1508895663.1396837,1508895663.2349126,11373
query,1508895663.2349167,1508895663.2429898,1
query,1508895663.2429938,1508895663.3769433,17623
query,1508895663.3769479,1508895663.4607174,12128
query,1508895663.4607215,1508895663.508785,3874
query,1508895663.5088327,1508895663.6182353,19196
query,1508895663.6182392,1508895663.7901433,30612
query,1508895663.7901828,1508895663.8368704,2942
query,1508895663.849683,1508895663.8821256,2398
query,1508895663.882129,1508895663.9557295,8685
query,1508895663.9557328,1508895664.017829,9956
query,1508895664.0178332,1508895664.155911,18045
query,1508895664.1559153,1508895664.2659898,13592
query,1508895664.2659945,1508895664.3834484,22225
query,1508895664.383454,1508895664.4193156,642
query,1508895664.4193199,1508895664.4335163,1
query,1508895664.4335194,1508895664.493704,4517
query,1508895664.4937077,1508895664.5325365,158
query,1508895664.5325408,1508895664.606354,13065
query,1508895664.6063576,1508895664.7087557,18491
query,1508895664.7087593,1508895664.7407029,3085
query,1508895664.7407072,1508895664.7775116,3973
query,1508895664.7775154,1508895664.8812745,14636
query,1508895664.8812783,1508895664.929271,6990
query,1508895664.9292746,1508895665.0071166,10765
query,1508895665.0071208,1508895665.0622773,6303
query,1508895665.0622814,1508895665.1122339,3434
query,1508895665.1122735,1508895665.180461,5997
query,1508895665.1925533,1508895665.233351,2811
query,1508895665.2333546,1508895665.3347914,22042
query,1508895665.3347955,1508895665.4006262,7039
query,1508895665.4006302,1508895665.549584,18311
query,1508895665.549588,1508895665.6516347,18859
query,1508895665.651639,1508895665.745181,18176
query,1508895665.7451847,1508895665.8606114,16411
query,1508895665.8606153,1508895665.9151435,9008
query,1508895665.915147,1508895665.93425,4
query,1508895665.9342535,1508895665.995031,5331
query,1508895665.995035,1508895666.1135893,21431
query,1508895666.113594,1508895666.1803596,1718
query,1508895666.1803644,1508895666.2875817,15242
query,1508895666.2875867,1508895666.3901908,12637
query,1508895666.390195,1508895666.4168305,0
query,1508895666.4168346,1508895666.6000762,23465
query,1508895666.6000805,1508895666.7621279,17997
query,1508895666.762132,1508895666.8109148,6054
query,1508895666.8109188,1508895666.8710558,1998
query,1508895666.8710997,1508895666.977249,13400
query,1508895666.989342,1508895667.2075686,22225
query,1508895667.2075727,1508895667.2670658,3252
query,1508895667.2670708,1508895667.3569891,14797
query,1508895667.356993,1508895667.5175214,23210
query,1508895667.5175254,1508895667.659832,15508
query,1508895667.659836,1508895667.725465,8710
query,1508895667.7254684,1508895667.7591202,0
query,1508895667.7591238,1508895667.7905116,187
query,1508895667.7905152,1508895667.9374182,23804
query,1508895667.937423,1508895668.0216687,2931
query,1508895668.0216725,1508895668.1115978,38
query,1508895668.111602,1508895668.3584688,19151
query,1508895668.3584726,1508895668.4148536,892
query,1508895668.4148574,1508895668.57139,20519
query,1508895668.571394,1508895668.6750875,12556
query,1508895668.6750913,1508895668.8583162,19322
query,1508895668.8583212,1508895668.8798044,8
query,1508895668.879809,1508895668.930762,1
query,1508895668.9307663,1508895669.0347931,8578
query,1508895669.0348382,1508895669.2171793,32744
query,1508895669.22963,1508895669.3958292,18040
query,1508895669.3958328,1508895669.4274788,0
query,1508895669.4274826,1508895669.6400373,18095
query,1508895669.6400428,1508895669.726864,9924
query,1508895669.7268682,1508895669.7872894,2213
query,1508895669.787294,1508895669.8325205,0
query,1508895669.8325243,1508895669.8829224,1027
query,1508895669.8829265,1508895670.132461,30218
query,1508895670.1324654,1508895670.160199,46
query,1508895670.1602027,1508895670.2067666,39
query,1508895670.206771,1508895670.381885,18312
query,1508895670.3818896,1508895670.413746,1
query,1508895670.4137502,1508895670.4455519,2088
query,1508895670.445556,1508895670.5178013,12629
query,1508895670.5178058,1508895670.6354482,18106
query,1508895670.6354535,1508895670.6949005,7548
query,1508895670.6949046,1508895670.8651047,18308
query,1508895670.8651094,1508895670.9388933,1335
query,1508895670.9388974,1508895671.1014447,18064
query,1508895671.1014872,1508895671.1849897,3015
query,1508895671.2000015,1508895671.3717763,19892
query,1508895671.3717813,1508895671.4775417,5585
query,1508895671.477546,1508895671.5336607,2142
query,1508895671.5336645,1508895671.5818923,6560
query,1508895671.5818956,1508895671.6810336,2152
query,1508895671.6810393,1508895671.7220006,3602
query,1508895671.722005,1508895671.8409367,11069
query,1508895671.8409407,1508895671.887318,5358
query,1508895671.8873217,1508895671.913502,1540
query,1508895671.913506,1508895671.9486449,4051
query,1508895671.9486492,1508895672.0375693,17921
query,1508895672.037574,1508895672.1267152,15534
query,1508895672.1267185,1508895672.1637125,3001
query,1508895672.1637168,1508895672.1934497,2
query,1508895672.1934536,1508895672.230144,3773
query,1508895672.2301478,1508895672.2595692,99
query,1508895672.2595725,1508895672.3558035,17785
query,1508895672.3558075,1508895672.447177,15485
query,1508895672.447181,1508895672.5461223,18207
query,1508895672.5461628,1508895672.6004813,3104
query,1508895672.6157064,1508895672.799009,15954
query,1508895672.7990134,1508895673.0216107,27344
query,1508895673.0216146,1508895673.2573557,19762
query,1508895673.2573607,1508895673.4075787,17344
query,1508895673.407583,1508895673.4654288,7462
query,1508895673.4654324,1508895673.5576377,11373
query,1508895673.557641,1508895673.6366339,12614
query,1508895673.6366394,1508895673.709835,4307
query,1508895673.7098396,1508895673.8197205,17978
query,1508895673.8197253,1508895673.8685095,2
query,1508895673.8685138,1508895673.9155912,5056
query,1508895673.915596,1508895673.9372833,0
query,1508895673.9372873,1508895674.0063243,397
query,1508895674.0063283,1508895674.1959226,17699
query,1508895674.1959267,1508895674.2358277,3444
query,1508895674.2358322,1508895674.3594377,14594
query,1508895674.359442,1508895674.4633152,18486
query,1508895674.4633198,1508895674.4974077,2
query,1508895674.4974115,1508895674.5469532,1170
query,1508895674.5470026,1508895674.70996,18413
query,1508895674.722538,1508895674.771143,1726
query,1508895674.771147,1508895674.9889212,26380
query,1508895674.9889257,1508895675.1038709,21992
query,1508895675.1038752,1508895675.1515563,5306
query,1508895675.1515608,1508895675.2635791,18014
query,1508895675.2635834,1508895675.3971808,25571
