tables,1509036421.859525,1509039314.8897893
query,1509039314.8905327,1509039317.5817504,1249
query,1509039317.5970256,1509039318.6233945,2431
query,1509039318.6233983,1509039318.7656531,1106
query,1509039318.765657,1509039318.8910182,559
query,1509039318.8910222,1509039319.0027068,1263
query,1509039319.0027106,1509039319.1652286,305
query,1509039319.1652327,1509039319.2541566,13
query,1509039319.2541604,1509039320.0437906,2023
query,1509039320.0437942,1509039320.1417801,1273
query,1509039320.1417837,1509039320.4245677,1731
query,1509039320.4245713,1509039320.4812288,0
query,1509039320.4812326,1509039320.5772576,19
query,1509039320.577261,1509039320.6726148,1186
query,1509039320.6726186,1509039321.1773498,2020
query,1509039321.1773536,1509039321.3967726,857
query,1509039321.3967762,1509039321.5191197,715
query,1509039321.5191233,1509039321.5926433,1508
query,1509039321.5926464,1509039321.801762,2377
query,1509039321.8017669,1509039322.2509453,2025
query,1509039322.250949,1509039322.3605516,294
query,1509039322.3606036,1509039322.6140046,1692
query,1509039322.6265495,1509039323.180442,2024
query,1509039323.1804469,1509039323.334391,15
query,1509039323.3343954,1509039323.6452057,2624
query,1509039323.6452096,1509039324.1384583,2020
query,1509039324.138462,1509039324.2440672,51
query,1509039324.2440712,1509039324.5198348,2482
query,1509039324.5198386,1509039324.5856636,53
query,1509039324.585667,1509039324.684547,15
query,1509039324.6845508,1509039324.7774131,1717
query,1509039324.7774174,1509039325.0384114,2806
query,1509039325.0384154,1509039325.1677055,635
query,1509039325.1677098,1509039325.3343124,1431
query,1509039325.3343163,1509039325.4558446,1285
query,1509039325.455849,1509039325.5648685,614
query,1509039325.5648727,1509039326.168107,2020
query,1509039326.1681108,1509039326.2927125,272
query,1509039326.2927167,1509039326.6327286,2103
query,1509039326.6327326,1509039327.1765974,2005
query,1509039327.1766014,1509039327.3829868,1562
query,1509039327.3830342,1509039327.5443153,1136
query,1509039327.5569525,1509039327.9759886,3345
query,1509039327.9759924,1509039328.2485158,1722
query,1509039328.2485201,1509039328.4000838,1031
