tables,1509113528.318999,1509114722.4164107
query,1509114722.4181755,1509114722.5223453,67
query,1509114722.5387297,1509114722.606288,944
query,1509114722.6062934,1509114722.7248278,965
query,1509114722.724832,1509114722.7715347,54
query,1509114722.771539,1509114722.8216605,26
query,1509114722.8216648,1509114722.8716433,232
query,1509114722.8716474,1509114722.8853056,2
query,1509114722.8853092,1509114722.9324837,63
query,1509114722.9324877,1509114722.9840264,159
query,1509114722.9840305,1509114723.037037,30
query,1509114723.037041,1509114723.1201525,584
query,1509114723.1201563,1509114723.1731021,260
query,1509114723.1731062,1509114723.2258444,584
query,1509114723.2258484,1509114723.3405576,1691
query,1509114723.3405619,1509114723.3806515,90
query,1509114723.3806553,1509114723.4407616,795
query,1509114723.4407654,1509114723.4518344,0
query,1509114723.4518373,1509114723.5014722,574
query,1509114723.5014768,1509114723.5296733,3
query,1509114723.5296779,1509114723.5806053,582
query,1509114723.5806565,1509114723.6580114,241
query,1509114723.670133,1509114723.7200317,167
query,1509114723.720036,1509114723.7780783,573
query,1509114723.7780833,1509114723.887531,1669
query,1509114723.8875356,1509114723.9379332,82
query,1509114723.9379377,1509114723.990697,584
query,1509114723.9907014,1509114724.0402706,584
query,1509114724.0402746,1509114724.0923786,584
query,1509114724.0923827,1509114724.1470346,584
query,1509114724.147039,1509114724.2260478,584
query,1509114724.226052,1509114724.2438495,1
query,1509114724.2438533,1509114724.284677,4
query,1509114724.284681,1509114724.341358,771
query,1509114724.3413625,1509114724.369346,6
query,1509114724.3693502,1509114724.419498,1197
query,1509114724.4195025,1509114724.4654858,396
query,1509114724.46549,1509114724.4770863,0
query,1509114724.4770904,1509114724.528277,143
query,1509114724.5282812,1509114724.5756977,701
query,1509114724.5757022,1509114724.6229796,130
query,1509114724.62302,1509114725.7879713,1296
query,1509114725.8006988,1509114726.0033734,1673
query,1509114726.003378,1509114726.0647507,1297
query,1509114726.0647552,1509114726.2060244,2625
query,1509114726.2060285,1509114726.2535713,9
query,1509114726.2535822,1509114726.3022954,647
query,1509114726.302299,1509114728.4552631,1504
query,1509114728.455268,1509114728.6559017,3624
query,1509114728.6559072,1509114728.6692178,0
query,1509114728.6692228,1509114728.6841028,1
query,1509114728.6841073,1509114728.738196,798
query,1509114728.7382007,1509114728.7492266,0
query,1509114728.7492313,1509114728.9523423,3113
