tables,1508954745.615415,1508961785.7865
query,1508961785.787263,1508961786.3509371,1943
query,1508961786.3685308,1508961786.989417,3683
query,1508961786.9894223,1508961787.2349503,3327
query,1508961787.2349548,1508961787.5096714,1902
query,1508961787.5096765,1508961787.587212,331
query,1508961787.5872164,1508961787.8945923,5370
query,1508961787.8945963,1508961787.9483757,137
query,1508961787.9483795,1508961788.0174704,211
query,1508961788.0174747,1508961788.296055,1129
query,1508961788.2960591,1508961788.4493823,720
query,1508961788.4493866,1508961789.8351269,1933
query,1508961789.8351312,1508961790.2052765,1638
query,1508961790.2052805,1508961790.602996,1924
query,1508961790.6030006,1508961790.995377,3988
query,1508961790.9953809,1508961791.1392837,1130
query,1508961791.1392868,1508961791.6199713,3798
query,1508961791.6199756,1508961791.658979,123
query,1508961791.6589828,1508961791.9459937,1923
query,1508961791.9459982,1508961792.0065,207
query,1508961792.006504,1508961792.21447,93
query,1508961792.214531,1508961792.3403876,1261
query,1508961792.3528929,1508961792.4710975,3109
query,1508961792.471102,1508961792.5868537,418
query,1508961792.586858,1508961793.0838492,5820
query,1508961793.0838542,1508961793.2019265,967
query,1508961793.2019315,1508961793.526166,1929
query,1508961793.5261703,1508961793.7769969,1891
query,1508961793.7770011,1508961794.0036535,306
query,1508961794.0036573,1508961794.2804608,1921
query,1508961794.2804651,1508961794.5103092,1451
query,1508961794.5103133,1508961794.5657277,42
query,1508961794.565732,1508961794.6142428,63
query,1508961794.6142466,1508961795.302858,14792
query,1508961795.3028622,1508961795.3815975,549
query,1508961795.3816557,1508961795.8753223,13459
query,1508961795.8753266,1508961796.1585202,3799
query,1508961796.158524,1508961796.1956742,8
query,1508961796.1956782,1508961796.4830506,11489
query,1508961796.483055,1508961796.836955,5933
query,1508961796.8369596,1508961796.9685404,2865
query,1508961796.968584,1508961797.7784615,17354
query,1508961797.79093,1508961798.3207362,14464
query,1508961798.32074,1508961799.0083535,14166
query,1508961799.0083582,1508961800.1200752,13010
query,1508961800.120079,1508961800.2506115,692
query,1508961800.2506156,1508961800.7876585,13049
query,1508961800.7876623,1508961801.2898695,5345
query,1508961801.2898738,1508961802.2430127,13709
query,1508961802.2430167,1508961802.283345,1
query,1508961802.2833493,1508961802.337315,37
query,1508961802.3373191,1508961802.6780345,6099
query,1508961802.6780384,1508961802.7560883,0
query,1508961802.7560928,1508961803.8321402,18157
query,1508961803.8321443,1508961804.1290107,13403
query,1508961804.129015,1508961804.218121,1001
query,1508961804.2181253,1508961804.335306,1975
query,1508961804.3353107,1508961804.5221229,6003
query,1508961804.5221276,1508961804.9713514,13464
