tables,1509210346.5596063,1509213227.7142663
query,1509213227.7147868,1509213227.859126,2851
query,1509213227.875029,1509213228.13731,3822
query,1509213228.1373138,1509213228.1791122,953
query,1509213228.1791155,1509213228.230913,681
query,1509213228.230917,1509213228.3676713,2450
query,1509213228.3676755,1509213228.409369,317
query,1509213228.4093728,1509213228.450408,22
query,1509213228.4504113,1509213228.8294852,1674
query,1509213228.829489,1509213228.880572,1093
query,1509213228.8805757,1509213228.9216712,417
query,1509213228.9216747,1509213228.9318874,0
query,1509213228.93189,1509213228.9586167,52
query,1509213228.9586203,1509213229.0775738,2663
query,1509213229.0775778,1509213229.2705183,1676
query,1509213229.270522,1509213229.3662572,2513
query,1509213229.3662605,1509213229.3961985,1080
query,1509213229.396202,1509213229.4802032,2450
query,1509213229.4802067,1509213229.5620794,2823
query,1509213229.562084,1509213229.7647784,1676
query,1509213229.7647827,1509213229.8013885,401
query,1509213229.8014498,1509213229.8763633,1398
query,1509213229.8894536,1509213230.087192,1674
query,1509213230.0871959,1509213230.124824,105
query,1509213230.1248286,1509213230.3216116,4021
query,1509213230.3216155,1509213230.4956741,1673
query,1509213230.4956782,1509213230.535662,187
query,1509213230.5356665,1509213230.730573,5094
query,1509213230.7305772,1509213230.755252,163
query,1509213230.7552555,1509213230.7789662,10
query,1509213230.77897,1509213230.882026,2689
query,1509213230.8820295,1509213230.9970825,2127
query,1509213230.9970865,1509213231.0398738,715
query,1509213231.0398774,1509213231.168604,2411
query,1509213231.168608,1509213231.327047,2646
query,1509213231.3270512,1509213231.3724704,893
query,1509213231.372474,1509213231.555841,1675
query,1509213231.5558443,1509213231.5883965,436
query,1509213231.5884008,1509213231.7122903,2727
query,1509213231.7122946,1509213231.8417964,1683
query,1509213231.8418002,1509213231.9584062,2578
query,1509213231.9584906,1509213231.9997296,1520
query,1509213232.0121038,1509213232.2778018,5388
query,1509213232.2778058,1509213232.309238,417
query,1509213232.3092413,1509213232.338487,1097
query,1509213232.3384905,1509213232.5359004,1675
query,1509213232.535904,1509213232.73089,1677
query,1509213232.7308939,1509213232.7736194,672
query,1509213232.7736237,1509213232.8187363,1031
query,1509213232.8187423,1509213232.8593884,239
query,1509213232.8593922,1509213233.0162878,1674
query,1509213233.0162916,1509213233.101416,2111
query,1509213233.1014202,1509213233.1239722,3
query,1509213233.123976,1509213233.1530943,1723
query,1509213233.1530979,1509213233.1797945,923
query,1509213233.1797986,1509213233.192281,2
query,1509213233.1922846,1509213233.2239976,1221
query,1509213233.2240012,1509213233.3581238,4967
query,1509213233.3581285,1509213233.370078,1
query,1509213233.3700817,1509213233.379483,1
query,1509213233.3794873,1509213233.4713068,2266
query,1509213233.4713511,1509213233.5959444,1632
query,1509213233.608917,1509213233.7334924,2686
query,1509213233.7334962,1509213233.783908,1384
query,1509213233.783912,1509213233.8758519,2258
query,1509213233.8758557,1509213233.9985728,2567
query,1509213233.9985766,1509213234.0285711,647
query,1509213234.0285745,1509213234.1676476,3771
query,1509213234.1676512,1509213234.3148234,3121
query,1509213234.3148274,1509213234.3447526,1298
query,1509213234.3447566,1509213234.3792622,2444
query,1509213234.379266,1509213234.533935,1676
query,1509213234.5339391,1509213234.5777826,326
query,1509213234.577786,1509213234.6251109,69
query,1509213234.6251147,1509213234.763531,3526
query,1509213234.7635353,1509213234.8541067,2479
query,1509213234.854111,1509213234.9022133,1104
query,1509213234.902217,1509213235.351471,7965
query,1509213235.3514748,1509213235.5136476,4121
query,1509213235.5136516,1509213235.54141,4
query,1509213235.541415,1509213235.5844893,276
query,1509213235.5845344,1509213235.639386,12
query,1509213235.6520016,1509213235.6901622,174
query,1509213235.6901658,1509213235.7465062,893
query,1509213235.7465103,1509213235.917932,4286
query,1509213235.917936,1509213235.9594266,1164
query,1509213235.9594305,1509213236.15466,7875
query,1509213236.1546643,1509213236.192218,303
query,1509213236.192222,1509213236.202195,0
query,1509213236.2021995,1509213236.233686,1198
query,1509213236.2336893,1509213236.2763736,125
query,1509213236.2763777,1509213236.331118,1368
query,1509213236.3311217,1509213236.403996,2751
query,1509213236.4040003,1509213236.4317021,154
query,1509213236.431706,1509213236.4413252,0
query,1509213236.441329,1509213236.5623865,3057
query,1509213236.5623906,1509213236.758329,8032
query,1509213236.7583325,1509213236.833795,1814
query,1509213236.833799,1509213236.8775144,90
query,1509213236.8775187,1509213236.8970263,1
query,1509213236.8970299,1509213236.950282,1472
query,1509213236.9503274,1509213237.018679,1047
query,1509213237.0317202,1509213237.074686,57
query,1509213237.0746903,1509213237.12895,2834
query,1509213237.1289544,1509213237.1696107,555
query,1509213237.1696146,1509213237.2098894,714
query,1509213237.2098932,1509213237.2537653,1978
query,1509213237.2537692,1509213237.7099214,8029
query,1509213237.7099252,1509213237.755153,949
query,1509213237.755157,1509213237.7740397,3
query,1509213237.774044,1509213237.9853442,7432
query,1509213237.985348,1509213238.0282087,379
query,1509213238.0282128,1509213238.0620928,9
query,1509213238.0620959,1509213238.1797388,3939
query,1509213238.1797423,1509213238.209543,1238
query,1509213238.2095473,1509213238.332381,6330
query,1509213238.3323858,1509213238.3953397,1463
query,1509213238.3953438,1509213238.4267309,281
query,1509213238.4267347,1509213238.4496017,10
query,1509213238.4496055,1509213238.4901927,263
query,1509213238.4901967,1509213238.5307863,453
query,1509213238.5308304,1509213238.735727,6410
query,1509213238.7484012,1509213238.8571222,2704
query,1509213238.8571258,1509213238.9847047,2286
query,1509213238.9847088,1509213239.1413143,3282
query,1509213239.1413186,1509213239.2334049,2956
query,1509213239.2334096,1509213239.3075066,2542
query,1509213239.3075106,1509213239.4644244,3741
query,1509213239.4644282,1509213239.5018785,125
query,1509213239.501882,1509213239.529141,636
query,1509213239.529145,1509213239.6070542,4484
query,1509213239.607058,1509213239.6652582,1118
query,1509213239.6652622,1509213239.8222902,4347
query,1509213239.8222942,1509213239.8406973,2
query,1509213239.8407009,1509213239.9174685,1646
query,1509213239.9174728,1509213239.9607513,765
query,1509213239.9607556,1509213240.0562186,22
query,1509213240.0562227,1509213240.1591284,3238
query,1509213240.159132,1509213240.196053,1658
query,1509213240.1960578,1509213240.234262,2228
query,1509213240.2342658,1509213240.2798798,50
query,1509213240.2799246,1509213240.3614643,199
query,1509213240.3745952,1509213240.5285406,4653
query,1509213240.528545,1509213240.5617673,58
query,1509213240.5617714,1509213240.5715957,1
query,1509213240.5715992,1509213240.776891,5649
query,1509213240.7768948,1509213240.8155909,138
query,1509213240.8155947,1509213240.8244498,0
query,1509213240.824454,1509213240.9037454,1944
query,1509213240.9037492,1509213240.9329913,25
query,1509213240.9329953,1509213241.0693657,4618
query,1509213241.0693696,1509213241.3388464,4594
query,1509213241.338851,1509213241.381308,44
query,1509213241.3813126,1509213241.508095,4579
query,1509213241.508099,1509213241.6486096,5344
query,1509213241.6486137,1509213241.6767147,746
query,1509213241.6767197,1509213241.830097,4217
query,1509213241.830101,1509213241.8580244,924
query,1509213241.8580291,1509213241.8838882,152
query,1509213241.8838923,1509213242.0360096,5321
query,1509213242.036014,1509213242.1096635,1708
query,1509213242.1097102,1509213242.3777368,6035
query,1509213242.3905826,1509213242.7501845,9136
query,1509213242.7501886,1509213242.7922266,810
query,1509213242.7922306,1509213242.8332846,1136
query,1509213242.8332882,1509213242.9683926,2765
query,1509213242.9683967,1509213243.0050957,185
query,1509213243.0050998,1509213243.0412767,12
query,1509213243.0412805,1509213243.0829258,896
query,1509213243.0829298,1509213243.1301184,125
query,1509213243.1301224,1509213243.2583025,4016
query,1509213243.2583072,1509213243.324892,2109
query,1509213243.3248968,1509213243.337224,0
query,1509213243.3372278,1509213243.3553178,1
query,1509213243.3553216,1509213243.4010181,198
query,1509213243.4010217,1509213243.4471896,783
