tables,1509239325.736456,1509241375.6564932
query,1509241375.658808,1509241375.7373621,683
query,1509241375.7565277,1509241375.845435,9501
query,1509241375.8454416,1509241375.982396,25557
query,1509241375.9824023,1509241376.029675,2977
query,1509241376.0296803,1509241376.0590045,389
query,1509241376.0590103,1509241376.1618183,11579
query,1509241376.1618235,1509241376.187772,221
query,1509241376.187786,1509241376.2162178,435
query,1509241376.2162218,1509241376.2663884,4415
query,1509241376.266393,1509241376.2923355,535
query,1509241376.2923396,1509241376.373423,3138
query,1509241376.373429,1509241376.4516597,10312
query,1509241376.4516652,1509241376.5374792,3138
query,1509241376.5374851,1509241376.6324608,15038
query,1509241376.632467,1509241376.686864,4294
query,1509241376.686869,1509241376.7918193,11092
query,1509241376.7918248,1509241376.8229055,224
query,1509241376.8229108,1509241376.893932,3104
query,1509241376.8939378,1509241376.9355342,448
query,1509241376.9355392,1509241377.0246446,3138
query,1509241377.0247028,1509241377.1205132,5314
query,1509241377.1327431,1509241377.203927,5402
query,1509241377.203932,1509241377.2512143,3103
query,1509241377.251219,1509241377.38632,27164
query,1509241377.3863266,1509241377.4202638,1520
query,1509241377.4202693,1509241377.496928,3138
query,1509241377.496933,1509241377.581695,3138
query,1509241377.5817008,1509241377.6655161,3138
query,1509241377.66552,1509241377.752285,3138
query,1509241377.7522888,1509241377.858744,3138
query,1509241377.8587503,1509241377.902582,52
query,1509241377.9025867,1509241377.9446394,157
query,1509241377.9446554,1509241378.0915573,21804
query,1509241378.091564,1509241378.1378589,947
query,1509241378.1378646,1509241378.364912,40297
query,1509241378.3649182,1509241378.5944936,32727
query,1509241378.5944993,1509241378.6052737,1
query,1509241378.6052802,1509241378.7349215,26503
query,1509241378.7349267,1509241378.8746924,28474
query,1509241378.874697,1509241378.9154007,3227
query,1509241378.9154623,1509241379.2079837,39873
query,1509241379.2154098,1509241379.4676497,30432
query,1509241379.4676538,1509241379.6841352,29738
query,1509241379.68414,1509241380.4494662,45238
query,1509241380.4494734,1509241380.503249,4282
query,1509241380.5032544,1509241380.6280684,18159
query,1509241380.6280742,1509241380.7460446,21254
query,1509241380.7460494,1509241381.0274937,46693
query,1509241381.0274997,1509241381.0409412,1
query,1509241381.0409482,1509241381.0651782,281
query,1509241381.0651834,1509241381.1477766,11995
query,1509241381.1477816,1509241381.1589897,0
query,1509241381.1589942,1509241381.5189784,64937
query,1509241381.5189857,1509241381.6355228,22977
query,1509241381.6355288,1509241381.7247162,11530
query,1509241381.7247212,1509241381.8583057,29117
query,1509241381.858311,1509241381.9584463,11470
query,1509241381.9584537,1509241382.096833,25225
query,1509241382.0968382,1509241382.1578553,9755
query,1509241382.1578615,1509241382.1874146,596
query,1509241382.1878996,1509241382.5176852,2
query,1509241382.5242925,1509241382.5725498,5107
query,1509241382.5725534,1509241382.8683088,65964
query,1509241382.8683136,1509241382.9706285,21807
query,1509241382.9706337,1509241383.0119169,2036
query,1509241383.0119214,1509241383.0640547,7146
query,1509241383.0640593,1509241383.1192346,3528
query,1509241383.119239,1509241383.375988,39743
query,1509241383.375993,1509241383.4608738,14780
query,1509241383.4608793,1509241383.623569,39064
query,1509241383.6235735,1509241383.7559211,19138
query,1509241383.7559273,1509241383.9291954,27560
query,1509241383.929201,1509241383.9430468,2
query,1509241383.943051,1509241384.0181813,8271
query,1509241384.018186,1509241384.1506884,31248
query,1509241384.1506913,1509241384.247257,10090
query,1509241384.2472622,1509241384.2823837,5
query,1509241384.2823884,1509241384.3310685,460
query,1509241384.3310723,1509241384.4151735,12902
query,1509241384.4151766,1509241384.4949021,9378
query,1509241384.4949486,1509241384.6958237,35295
query,1509241384.7084694,1509241384.772227,2879
query,1509241384.7722318,1509241384.8438985,5143
query,1509241384.8439035,1509241384.8863523,90
query,1509241384.8863587,1509241384.9795468,15283
query,1509241384.9795518,1509241385.0213683,5310
query,1509241385.021373,1509241385.0303428,0
query,1509241385.030347,1509241385.2510228,45453
query,1509241385.251029,1509241385.2951293,587
query,1509241385.2951348,1509241385.3848407,9155
query,1509241385.384846,1509241385.4697437,17422
query,1509241385.4697485,1509241385.5003061,2140
query,1509241385.5003104,1509241385.526219,667
query,1509241385.526224,1509241385.590437,4063
query,1509241385.5904496,1509241385.6311762,38
query,1509241385.6311822,1509241385.734092,13813
query,1509241385.7340972,1509241385.7990286,4704
query,1509241385.7990348,1509241385.9814575,29545
query,1509241385.9814625,1509241386.1288006,21938
query,1509241386.1288054,1509241386.3522935,51046
query,1509241386.3523853,1509241386.38735,18
query,1509241386.4010205,1509241386.5275576,26611
query,1509241386.5275629,1509241386.6281238,15891
query,1509241386.6281288,1509241386.671027,2773
query,1509241386.671033,1509241386.723164,4840
query,1509241386.7231693,1509241386.8694873,16560
query,1509241386.8694928,1509241387.1713958,51330
query,1509241387.171401,1509241387.3357089,46269
query,1509241387.3357124,1509241387.3805196,114
query,1509241387.3805225,1509241387.5605826,35712
query,1509241387.560588,1509241387.6684587,21751
query,1509241387.6684628,1509241387.7234206,12650
query,1509241387.723426,1509241387.7890599,4736
query,1509241387.789066,1509241387.8607364,9296
query,1509241387.860742,1509241387.9076884,5661
query,1509241387.9076948,1509241387.9376166,224
query,1509241387.937621,1509241387.9785893,5922
query,1509241387.978594,1509241388.1786852,36855
query,1509241388.1786902,1509241388.2205274,4772
query,1509241388.2205327,1509241388.2712238,2375
query,1509241388.271262,1509241388.3254733,5333
query,1509241388.338686,1509241388.4225209,6624
query,1509241388.4225264,1509241388.6784658,59112
query,1509241388.678472,1509241388.7039423,134
query,1509241388.7039454,1509241388.7560472,8205
query,1509241388.756052,1509241388.8724458,23417
query,1509241388.872451,1509241388.9216344,1795
query,1509241388.9216392,1509241389.2077856,47539
query,1509241389.2077904,1509241389.236741,1354
query,1509241389.2367456,1509241389.4049432,31364
query,1509241389.4049497,1509241389.4846225,13588
query,1509241389.4846284,1509241389.6386247,30944
query,1509241389.6386309,1509241389.7445269,24560
query,1509241389.7445333,1509241389.7986844,2941
query,1509241389.79869,1509241390.0185134,38194
query,1509241390.0185182,1509241390.0629594,116
query,1509241390.0629714,1509241390.1151216,2140
query,1509241390.115125,1509241390.2386289,24693
query,1509241390.238636,1509241390.283647,391
query,1509241390.2836506,1509241390.3863082,10293
query,1509241390.386366,1509241390.5552611,27629
query,1509241390.5674078,1509241390.8003373,31638
query,1509241390.8003426,1509241390.8696494,7167
query,1509241390.8696556,1509241390.9816208,7891
query,1509241390.9816265,1509241391.2084723,40284
query,1509241391.2084801,1509241391.4574564,60196
query,1509241391.4574628,1509241391.5147197,2823
query,1509241391.514726,1509241391.5570698,358
query,1509241391.5570753,1509241391.770135,26094
query,1509241391.7701406,1509241391.8211055,4379
query,1509241391.8211093,1509241391.887604,6643
query,1509241391.8876076,1509241391.915528,404
query,1509241391.9155333,1509241391.971147,5455
query,1509241391.9711545,1509241391.9987953,201
query,1509241391.9988017,1509241392.0263467,14
query,1509241392.0263531,1509241392.0670052,352
query,1509241392.0670106,1509241392.140053,11171
query,1509241392.1400585,1509241392.2121172,13829
query,1509241392.2121215,1509241392.4989488,57248
query,1509241392.498957,1509241392.628222,29645
query,1509241392.6282766,1509241392.696688,6779
query,1509241392.7070744,1509241392.8020272,18073
query,1509241392.8020308,1509241392.9128635,18473
query,1509241392.912867,1509241393.0414746,18727
query,1509241393.0414803,1509241393.0849648,272
query,1509241393.084971,1509241393.1177037,1967
query,1509241393.1177104,1509241393.232165,15966
query,1509241393.2321706,1509241393.4589381,41528
query,1509241393.4589436,1509241393.5224235,5872
query,1509241393.5224292,1509241393.5587947,2591
query,1509241393.5588007,1509241393.6777737,25831
query,1509241393.6777797,1509241393.730229,7648
query,1509241393.730234,1509241393.759992,1224
query,1509241393.7599971,1509241393.898585,30437
query,1509241393.8985913,1509241394.0457702,29747
query,1509241394.045776,1509241394.1756406,27589
query,1509241394.1756482,1509241394.2088575,841
query,1509241394.2088633,1509241394.2544215,206
query,1509241394.2544272,1509241394.38184,20550
query,1509241394.381845,1509241394.5562892,41497
query,1509241394.5563354,1509241394.7276394,20718
query,1509241394.7354941,1509241394.7937787,9927
query,1509241394.7937841,1509241394.8854084,19353
query,1509241394.8854148,1509241395.0465078,31934
query,1509241395.0465138,1509241395.1678274,25161
query,1509241395.1678314,1509241395.2821662,28364
query,1509241395.2821736,1509241395.334269,4339
query,1509241395.334274,1509241395.3775074,109
query,1509241395.377512,1509241395.4286783,374
query,1509241395.4286845,1509241395.547936,23517
query,1509241395.5479422,1509241395.615818,11441
query,1509241395.615823,1509241395.7694566,21580
query,1509241395.769462,1509241395.7961602,8
query,1509241395.7961671,1509241395.8772297,10299
query,1509241395.8772352,1509241395.8870058,0
query,1509241395.8870134,1509241396.075572,25015
query,1509241396.0755792,1509241396.22559,28616
query,1509241396.2256074,1509241396.2788897,2603
query,1509241396.2788956,1509241396.3900175,19029
query,1509241396.3900328,1509241396.6028035,35775
query,1509241396.6028395,1509241396.6544728,5684
query,1509241396.6679704,1509241396.708497,23
query,1509241396.7085023,1509241396.8493693,19234
query,1509241396.849375,1509241396.9454927,15661
query,1509241396.9454978,1509241397.0107722,6729
query,1509241397.0107782,1509241397.1391363,29806
query,1509241397.139141,1509241397.3075929,31302
query,1509241397.3075986,1509241397.333182,272
query,1509241397.3331854,1509241397.3425043,0
query,1509241397.342509,1509241397.4157224,14583
query,1509241397.4157257,1509241397.443973,1059
query,1509241397.443976,1509241397.5605264,27622
query,1509241397.5605302,1509241397.73088,30658
query,1509241397.7308867,1509241397.8283033,8940
query,1509241397.8283088,1509241397.920672,6973
query,1509241397.920677,1509241398.0679917,33273
query,1509241398.067998,1509241398.113824,1755
query,1509241398.1138294,1509241398.144224,2423
query,1509241398.1442277,1509241398.2334392,19909
query,1509241398.2334433,1509241398.2857385,2174
query,1509241398.285786,1509241398.466678,34797
query,1509241398.478666,1509241398.524986,340
query,1509241398.524991,1509241398.606292,14268
query,1509241398.606297,1509241398.6624398,5956
query,1509241398.6624448,1509241398.846734,41342
query,1509241398.8467402,1509241399.0816216,31798
query,1509241399.0816267,1509241399.2168736,18678
query,1509241399.2168787,1509241399.5013773,41295
query,1509241399.5013838,1509241399.5537755,1862
query,1509241399.5537806,1509241399.5626676,0
