tables,1508902503.1705048,1508903482.6430492
query,1508903482.6433606,1508903483.031371,2857
query,1508903483.0459347,1508903483.4570377,3978
query,1508903483.457042,1508903483.690842,3797
query,1508903483.6908457,1508903483.7941244,2399
query,1508903483.7941287,1508903483.8754787,387
query,1508903483.8754826,1508903484.1114652,7320
query,1508903484.111469,1508903484.17258,138
query,1508903484.1725836,1508903484.2309167,430
query,1508903484.2309203,1508903484.304101,1584
query,1508903484.304105,1508903484.37079,616
query,1508903484.3707933,1508903484.9982526,2484
query,1508903484.9982564,1508903485.1375067,3202
query,1508903485.1375105,1508903485.5723815,2501
query,1508903485.5723853,1508903485.763934,5139
query,1508903485.7639377,1508903485.874112,1128
query,1508903485.8741155,1508903486.0784166,4550
query,1508903486.0784204,1508903486.1148999,131
query,1508903486.1149035,1508903486.277016,2452
query,1508903486.2770202,1508903486.3026013,311
query,1508903486.302605,1508903486.3981385,373
query,1508903486.3981864,1508903486.4428082,1668
query,1508903486.4551086,1508903486.5972075,3122
query,1508903486.5972114,1508903486.6914778,413
query,1508903486.6914818,1508903487.3895388,6034
query,1508903487.3895428,1508903487.4736924,981
query,1508903487.473697,1508903487.834829,2504
query,1508903487.8348339,1508903488.0784152,2500
query,1508903488.0784197,1508903488.1598365,2270
query,1508903488.1598413,1508903488.3563714,2489
query,1508903488.356376,1508903488.4837763,2467
query,1508903488.4837801,1508903488.519299,109
query,1508903488.5193026,1508903488.5494964,1244
query,1508903488.5494998,1508903488.9930933,13482
query,1508903488.9930975,1508903489.072469,2159
query,1508903489.072473,1508903489.4997385,10819
query,1508903489.4997432,1508903489.673199,3716
query,1508903489.673203,1508903489.7145827,5
query,1508903489.7145865,1508903489.9174335,6509
query,1508903489.9174383,1508903490.0594137,3261
query,1508903490.0594177,1508903490.1045694,2252
query,1508903490.1046183,1508903490.7340002,9924
query,1508903490.746201,1508903491.093034,5607
query,1508903491.0930383,1508903491.6688309,10931
query,1508903491.668836,1508903492.597999,22232
query,1508903492.5980034,1508903492.672432,1943
query,1508903492.672436,1508903493.3700595,12668
query,1508903493.3700635,1508903493.791813,8586
query,1508903493.7918165,1508903494.5917215,15442
query,1508903494.591726,1508903494.6355968,2
query,1508903494.6356003,1508903494.713377,6
query,1508903494.7133806,1508903495.00982,4317
query,1508903495.009824,1508903495.0650823,0
query,1508903495.0650864,1508903496.0788364,22036
query,1508903496.0788414,1508903496.3336277,8622
query,1508903496.333632,1508903496.3726025,1931
query,1508903496.372607,1508903496.4904091,3173
query,1508903496.4904134,1508903496.6054735,2650
query,1508903496.6054783,1508903497.0751004,11713
query,1508903497.0751047,1508903497.230763,4165
query,1508903497.2307673,1508903497.2865577,477
