tables,1509255220.894555,1509259763.5848505
query,1509259763.585747,1509259764.6195128,3258
query,1509259764.635164,1509259766.0136507,11710
query,1509259766.013655,1509259766.3323872,26070
query,1509259766.3323908,1509259766.4210207,3149
query,1509259766.4210253,1509259766.4540188,575
query,1509259766.4540231,1509259766.6222918,19348
query,1509259766.6222954,1509259766.6468415,100
query,1509259766.6468441,1509259766.6717107,628
query,1509259766.6717138,1509259766.7231197,2874
query,1509259766.7231228,1509259766.7485778,484
query,1509259766.748581,1509259766.929027,3213
query,1509259766.9290302,1509259767.0056756,9318
query,1509259767.0056787,1509259767.055181,3213
query,1509259767.0551848,1509259767.1868439,12552
query,1509259767.1868474,1509259767.2192187,1767
query,1509259767.2192218,1509259767.3440275,11915
query,1509259767.3440306,1509259767.365591,314
query,1509259767.3655944,1509259767.4321046,3222
query,1509259767.432108,1509259767.4586506,173
query,1509259767.4586537,1509259767.525369,3201
query,1509259767.5254169,1509259767.57467,2888
query,1509259767.5869398,1509259767.6245646,3182
query,1509259767.624569,1509259767.6699276,3190
query,1509259767.6699317,1509259768.0020263,29190
query,1509259768.0020297,1509259768.0290163,1392
query,1509259768.0290194,1509259768.094289,3213
query,1509259768.0942926,1509259768.1449852,3213
query,1509259768.1449888,1509259768.1937952,3213
query,1509259768.1937988,1509259768.2444525,3213
query,1509259768.2444563,1509259768.2956703,3213
query,1509259768.2956736,1509259768.3170428,816
query,1509259768.3170462,1509259768.3332245,213
query,1509259768.333228,1509259768.5900784,26118
query,1509259768.5900822,1509259768.615483,1204
query,1509259768.6154869,1509259769.145397,39750
query,1509259769.1454008,1509259769.3282685,17012
query,1509259769.3282726,1509259769.339177,4
query,1509259769.3391802,1509259769.4274836,13324
query,1509259769.4274874,1509259769.6475155,17642
query,1509259769.6475194,1509259769.703938,9153
query,1509259769.7039804,1509259770.0550349,31000
query,1509259770.070071,1509259770.478151,36751
query,1509259770.4781551,1509259770.8371336,34220
query,1509259770.837138,1509259771.8500183,47872
query,1509259771.8500223,1509259771.8765442,2856
query,1509259771.876548,1509259772.1899383,32909
query,1509259772.1899426,1509259772.6650212,29369
query,1509259772.6650252,1509259773.2008162,41741
query,1509259773.2008207,1509259773.2180688,22
query,1509259773.2180722,1509259773.231401,323
query,1509259773.2314045,1509259773.351562,17414
query,1509259773.3515656,1509259773.3605077,0
query,1509259773.3605115,1509259774.0443099,48888
query,1509259774.0443144,1509259774.106484,10002
query,1509259774.106488,1509259774.1622057,7171
query,1509259774.1622095,1509259774.2808592,14547
query,1509259774.2808633,1509259774.3424602,8992
query,1509259774.3424635,1509259774.547546,23328
query,1509259774.5475492,1509259774.6614726,13066
query,1509259774.661477,1509259774.6829867,2881
query,1509259774.683028,1509259774.6984851,3
query,1509259774.7116253,1509259774.734313,3089
query,1509259774.734316,1509259775.4497604,48890
query,1509259775.4497643,1509259775.6098757,21060
query,1509259775.6098797,1509259775.630594,1778
query,1509259775.6305974,1509259775.6925027,8129
query,1509259775.692507,1509259775.742307,6990
query,1509259775.7423105,1509259776.1914594,38059
query,1509259776.1914637,1509259776.33906,15740
query,1509259776.339064,1509259776.36141,2675
query,1509259776.361413,1509259776.6966147,27903
query,1509259776.696619,1509259777.0410469,26782
query,1509259777.0410514,1509259777.054611,30
query,1509259777.0546153,1509259777.155449,25041
query,1509259777.1554532,1509259777.3439317,18824
query,1509259777.3439355,1509259777.4289212,10885
query,1509259777.4289248,1509259777.4395092,5
query,1509259777.4395123,1509259777.4568236,429
query,1509259777.4568272,1509259777.4764702,3358
query,1509259777.4764738,1509259777.4997718,4033
query,1509259777.4998612,1509259777.622876,24189
query,1509259777.6363945,1509259777.6587365,2925
query,1509259777.6587396,1509259777.7226088,8879
query,1509259777.7226124,1509259777.7388456,53
query,1509259777.738849,1509259777.775362,6924
query,1509259777.7753654,1509259777.8086033,3786
query,1509259777.8086066,1509259777.8142223,0
query,1509259777.8142254,1509259778.03846,24928
query,1509259778.0384645,1509259778.0590744,1446
query,1509259778.059085,1509259778.0924392,3622
query,1509259778.092443,1509259778.21199,24912
query,1509259778.2119944,1509259778.2425728,1198
query,1509259778.242577,1509259778.302255,6117
query,1509259778.302259,1509259778.329034,287
query,1509259778.3290384,1509259778.3492622,38
query,1509259778.3492658,1509259778.444619,14360
query,1509259778.444623,1509259778.5094037,6507
query,1509259778.509408,1509259778.7087064,29730
query,1509259778.7087104,1509259778.8223214,20418
query,1509259778.8223255,1509259779.2343125,45735
query,1509259779.2343652,1509259779.2498355,11
query,1509259779.2625003,1509259779.391091,17403
query,1509259779.391095,1509259779.4799373,15191
query,1509259779.4799416,1509259779.5111248,1695
query,1509259779.5111287,1509259779.541025,1659
query,1509259779.541029,1509259779.6700826,16206
query,1509259779.6700869,1509259780.1184862,45597
query,1509259780.11849,1509259780.2388954,19361
query,1509259780.2389002,1509259780.2512796,203
query,1509259780.2512834,1509259780.5387063,30819
query,1509259780.5387106,1509259780.6339726,17255
query,1509259780.633978,1509259780.663933,4911
query,1509259780.6639369,1509259780.726689,8571
query,1509259780.7266932,1509259780.7577636,2068
query,1509259780.757767,1509259780.7903657,4243
query,1509259780.7903693,1509259780.8134294,293
query,1509259780.8134332,1509259780.8533392,6084
query,1509259780.853343,1509259781.2705376,35498
query,1509259781.270542,1509259781.3142703,4234
query,1509259781.3142745,1509259781.329753,281
query,1509259781.3297966,1509259781.3526094,243
query,1509259781.3653362,1509259781.4146354,7528
query,1509259781.4146385,1509259781.8417494,49410
query,1509259781.8417537,1509259781.855988,49
query,1509259781.8559914,1509259782.0131617,23060
query,1509259782.0131664,1509259782.1186807,21125
query,1509259782.1186848,1509259782.1429977,661
query,1509259782.1430013,1509259782.7952116,47409
query,1509259782.7952156,1509259782.8120751,841
query,1509259782.8120787,1509259783.1509025,35767
query,1509259783.150906,1509259783.2177026,10574
query,1509259783.2177064,1509259783.5867963,29724
query,1509259783.5867999,1509259783.6121514,2691
query,1509259783.612155,1509259783.6649487,4956
query,1509259783.6649525,1509259784.242993,51099
query,1509259784.2429972,1509259784.263024,924
query,1509259784.263028,1509259784.3233535,7793
query,1509259784.3233576,1509259784.454639,23191
query,1509259784.4546437,1509259784.473865,615
query,1509259784.4738686,1509259784.650163,20218
query,1509259784.6502035,1509259784.6937697,5349
query,1509259784.7061641,1509259785.0429192,46820
query,1509259785.0429227,1509259785.1070487,6344
query,1509259785.1070526,1509259785.3460069,8954
query,1509259785.3460112,1509259785.5238736,22069
query,1509259785.5238776,1509259786.3523088,55257
query,1509259786.3523128,1509259786.407326,9383
query,1509259786.4073293,1509259786.4241781,861
query,1509259786.4241817,1509259786.7740433,30385
query,1509259786.7740474,1509259786.8430939,10116
query,1509259786.843097,1509259786.940176,16929
query,1509259786.9401803,1509259786.9468658,0
query,1509259786.9468687,1509259786.9828227,5986
query,1509259786.9828265,1509259786.9983625,254
query,1509259786.9983659,1509259787.0120132,6
query,1509259787.0120165,1509259787.0333385,2111
query,1509259787.0333426,1509259787.10044,11346
query,1509259787.1004438,1509259787.2730694,26856
query,1509259787.2730732,1509259787.8909266,53407
query,1509259787.8909302,1509259788.1035333,35346
query,1509259788.1035779,1509259788.1899111,12737
query,1509259788.202836,1509259788.316062,19248
query,1509259788.3160658,1509259788.5444925,19821
query,1509259788.5444963,1509259788.6208735,11175
query,1509259788.620877,1509259788.640544,1304
query,1509259788.6405473,1509259788.6576486,277
query,1509259788.6576517,1509259788.7423189,13788
query,1509259788.7423227,1509259789.423824,49909
query,1509259789.4238284,1509259789.496223,14696
query,1509259789.4962268,1509259789.5165408,694
query,1509259789.5165448,1509259789.6205652,19339
query,1509259789.6205695,1509259789.7710624,8398
query,1509259789.7710664,1509259789.7972367,4038
query,1509259789.7972407,1509259790.103026,28538
query,1509259790.1030295,1509259790.2728477,22494
query,1509259790.2728517,1509259790.633131,35406
query,1509259790.633135,1509259790.6569479,1437
query,1509259790.6569524,1509259790.6710377,207
query,1509259790.6710417,1509259790.7383797,10619
query,1509259790.7383842,1509259790.8643167,19698
query,1509259790.864364,1509259790.9573479,19991
query,1509259790.969677,1509259791.060137,13050
query,1509259791.0601408,1509259791.1721215,18602
query,1509259791.1721249,1509259791.4568515,41667
query,1509259791.4568548,1509259791.6729343,21807
query,1509259791.672938,1509259791.7427773,10938
query,1509259791.7427812,1509259791.767006,3412
query,1509259791.7670088,1509259791.779588,53
query,1509259791.7795916,1509259791.7972949,325
query,1509259791.797298,1509259792.045783,35525
query,1509259792.045787,1509259792.0955844,9939
query,1509259792.0955877,1509259792.1278682,3504
query,1509259792.1278718,1509259792.1365354,2
query,1509259792.1365385,1509259792.2973478,20938
query,1509259792.2973516,1509259792.3038025,1
query,1509259792.3038054,1509259792.6301916,47440
query,1509259792.6301956,1509259792.8664136,24781
query,1509259792.8664172,1509259792.891677,4078
query,1509259792.891681,1509259793.0525568,19640
query,1509259793.0525603,1509259793.5869553,37673
query,1509259793.5869954,1509259793.6392894,5581
query,1509259793.652219,1509259793.6667747,961
query,1509259793.6667786,1509259793.806126,21140
query,1509259793.80613,1509259793.9456258,23288
query,1509259793.9456298,1509259794.0344503,17271
query,1509259794.034454,1509259794.3647048,24490
query,1509259794.3647082,1509259794.6079152,32781
query,1509259794.607919,1509259794.6362932,3987
query,1509259794.6362965,1509259794.641825,0
query,1509259794.6418283,1509259794.81126,18295
query,1509259794.811264,1509259794.836344,3660
query,1509259794.8363469,1509259794.9493484,19734
query,1509259794.9493518,1509259795.4343388,35719
query,1509259795.4343421,1509259795.4724498,3952
query,1509259795.472453,1509259795.5537753,15321
query,1509259795.553779,1509259795.7069573,16985
query,1509259795.7069619,1509259795.7836747,17412
query,1509259795.7836792,1509259795.8005342,505
query,1509259795.8005376,1509259795.8784578,11512
query,1509259795.8784614,1509259795.9552848,19712
query,1509259795.9553246,1509259796.0099769,8289
query,1509259796.0225785,1509259796.039607,378
query,1509259796.0396109,1509259796.085323,6055
query,1509259796.0853264,1509259796.1080852,3367
query,1509259796.1080892,1509259796.2027695,19317
query,1509259796.202775,1509259796.6350656,31469
query,1509259796.6350708,1509259796.7792866,19579
