tables,1509013439.5604293,1509019287.8374794
query,1509019287.83842,1509019290.024319,9192
query,1509019290.0393057,1509019291.2646945,13009
query,1509019291.2646985,1509019291.6306329,5295
query,1509019291.6306367,1509019291.8270483,2595
query,1509019291.8270528,1509019292.1494222,7789
query,1509019292.149427,1509019292.247134,1949
query,1509019292.2471385,1509019292.3454213,259
query,1509019292.3454256,1509019294.8780642,7177
query,1509019294.8780682,1509019295.0572016,6755
query,1509019295.0572057,1509019295.3715456,7169
query,1509019295.37155,1509019295.4443748,7
query,1509019295.4443786,1509019295.5399172,105
query,1509019295.5399213,1509019296.2250524,10515
query,1509019296.225057,1509019296.9053032,7177
query,1509019296.9053073,1509019297.4524791,9527
query,1509019297.452483,1509019297.6789653,4354
query,1509019297.6789694,1509019297.9197578,6806
query,1509019297.9197621,1509019298.7136385,9611
query,1509019298.7136428,1509019299.5967777,7176
query,1509019299.5967827,1509019299.6794574,1772
query,1509019299.679534,1509019300.0767653,7184
query,1509019300.089154,1509019301.1045306,7177
query,1509019301.104535,1509019301.1869016,1989
query,1509019301.1869059,1509019302.131442,13008
query,1509019302.1314466,1509019302.5489578,7041
query,1509019302.548962,1509019302.6116593,1579
query,1509019302.6116638,1509019302.9614506,5844
query,1509019302.9614549,1509019303.037228,447
query,1509019303.0372326,1509019303.0909226,604
query,1509019303.0909271,1509019303.6123483,10450
query,1509019303.6123524,1509019304.1467886,10787
query,1509019304.1467931,1509019304.3113573,4784
query,1509019304.3113613,1509019304.740125,9316
query,1509019304.740129,1509019305.1662555,10517
query,1509019305.1662598,1509019305.4487019,4805
query,1509019305.4487054,1509019306.1855252,7174
query,1509019306.1855295,1509019306.2526865,1047
query,1509019306.2526906,1509019306.805801,9249
query,1509019306.8058054,1509019307.239352,7226
query,1509019307.2393565,1509019307.6932507,9748
query,1509019307.6933215,1509019307.979405,9427
query,1509019307.992239,1509019308.6040154,8338
query,1509019308.6040196,1509019308.9529066,7377
query,1509019308.9529107,1509019309.2311926,5955
query,1509019309.231197,1509019309.9671607,7152
query,1509019309.967165,1509019310.9056046,7177
query,1509019310.9056087,1509019311.1053307,3369
query,1509019311.1053352,1509019311.3911188,7315
query,1509019311.3911228,1509019311.5721824,5870
query,1509019311.5721867,1509019312.1030526,7123
query,1509019312.1030574,1509019312.3079917,6967
query,1509019312.307996,1509019312.443803,25
query,1509019312.4438071,1509019313.0669274,10928
query,1509019313.0669312,1509019313.1509233,1575
query,1509019313.1509278,1509019313.1979473,1
query,1509019313.1979516,1509019313.8391273,8710
query,1509019313.8391316,1509019314.3518574,8367
