tables,1509088190.9638298,1509091311.1108959
query,1509091311.1115065,1509091311.3403885,3559
query,1509091311.3552601,1509091311.6707854,4926
query,1509091311.6707897,1509091311.7326393,1299
query,1509091311.732643,1509091311.779536,674
query,1509091311.7795396,1509091311.9072213,3020
query,1509091311.9072254,1509091311.9406977,407
query,1509091311.9407017,1509091311.9665966,51
query,1509091311.9666,1509091312.4378092,2026
query,1509091312.4378126,1509091312.4768276,272
query,1509091312.4768312,1509091312.5421839,1560
query,1509091312.5421877,1509091312.5509567,0
query,1509091312.5509596,1509091312.5774543,23
query,1509091312.5774581,1509091312.6120162,2471
query,1509091312.6120198,1509091312.8945034,2025
query,1509091312.8945072,1509091312.924937,1357
query,1509091312.9249406,1509091312.9645438,1205
query,1509091312.9645479,1509091313.0112553,1464
query,1509091313.0112586,1509091313.1336532,3520
query,1509091313.133658,1509091313.4334028,2027
query,1509091313.4334066,1509091313.4794967,390
query,1509091313.479539,1509091313.6040323,1673
query,1509091313.616158,1509091314.0190156,2027
query,1509091314.01902,1509091314.0514245,105
query,1509091314.0514288,1509091314.2790442,5146
query,1509091314.2790484,1509091314.5635936,2027
query,1509091314.5635974,1509091314.6051795,16
query,1509091314.6051836,1509091314.7607677,3764
query,1509091314.760772,1509091314.788207,37
query,1509091314.788211,1509091314.8157892,17
query,1509091314.8157938,1509091314.934705,3513
query,1509091314.9347093,1509091314.9705126,2092
query,1509091314.9705164,1509091315.0015543,1221
query,1509091315.001558,1509091315.0575716,2314
query,1509091315.057576,1509091315.091361,1830
query,1509091315.0913653,1509091315.1236563,1726
query,1509091315.12366,1509091315.434509,2026
query,1509091315.4345133,1509091315.461456,421
query,1509091315.4614604,1509091315.583031,3454
query,1509091315.5830348,1509091315.7746947,2009
query,1509091315.774699,1509091315.826511,1738
query,1509091315.8265522,1509091315.8866367,1759
query,1509091315.9029148,1509091316.0554018,6817
query,1509091316.055412,1509091316.1109138,453
query,1509091316.1109178,1509091316.163709,1507
query,1509091316.1637125,1509091316.4531457,2027
query,1509091316.4531496,1509091316.7418256,2028
query,1509091316.7418299,1509091316.7780075,622
query,1509091316.7780118,1509091316.8261647,1732
query,1509091316.8261685,1509091316.8616462,909
query,1509091316.86165,1509091317.1988957,2021
query,1509091317.1988997,1509091317.2481058,2033
query,1509091317.2481098,1509091317.2631965,1
query,1509091317.2632005,1509091317.3599174,2303
query,1509091317.3599217,1509091317.4037497,837
query,1509091317.4037538,1509091317.4165616,2
query,1509091317.4165657,1509091317.461856,1662
query,1509091317.4618607,1509091317.502922,2047
query,1509091317.5029266,1509091317.5316758,33
query,1509091317.53168,1509091317.5431147,1
query,1509091317.5431187,1509091317.5702982,1262
query,1509091317.5703373,1509091317.746782,2015
query,1509091317.7615385,1509091317.80097,1891
query,1509091317.800974,1509091317.8537545,2594
query,1509091317.8537583,1509091317.900898,2303
query,1509091317.9009023,1509091318.0011036,3274
query,1509091318.0011082,1509091318.059341,1168
query,1509091318.0593452,1509091318.3257601,4855
query,1509091318.3257642,1509091318.358303,1501
query,1509091318.358307,1509091318.3941648,1562
query,1509091318.3941689,1509091318.4522283,2700
query,1509091318.4522326,1509091318.811106,2026
query,1509091318.8111105,1509091318.8501177,436
query,1509091318.850122,1509091318.8796306,1087
query,1509091318.8796349,1509091318.9870453,4460
query,1509091318.9870493,1509091319.0982428,3944
query,1509091319.0982473,1509091319.1279643,1625
query,1509091319.127968,1509091319.3957996,8120
query,1509091319.395804,1509091319.5669365,4732
query,1509091319.566941,1509091319.5790002,1
query,1509091319.579004,1509091319.622289,532
query,1509091319.622333,1509091319.6918995,26
query,1509091319.7055042,1509091319.7515428,156
query,1509091319.751549,1509091319.8013568,1280
