tables,1508872698.7833395,1508873123.3245606
query,1508873123.3247013,1508873123.403479,74
query,1508873123.406483,1508873123.4377499,49
query,1508873123.4377527,1508873123.6129525,8135
query,1508873123.6129558,1508873123.6969633,2824
query,1508873123.6969666,1508873123.7658677,3267
query,1508873123.7658708,1508873123.8048513,171
query,1508873123.8048544,1508873123.8288348,580
query,1508873123.8288374,1508873123.8569129,68
query,1508873123.856916,1508873123.8901584,11
query,1508873123.8901618,1508873123.9436612,91
query,1508873123.9436646,1508873124.0155964,5485
query,1508873124.0156,1508873124.0676396,76
query,1508873124.0676427,1508873124.1412747,4633
query,1508873124.141278,1508873124.208824,4267
query,1508873124.2088277,1508873124.2474148,24
query,1508873124.247418,1508873124.28343,3210
query,1508873124.283433,1508873124.3175433,17
query,1508873124.3175464,1508873124.3465025,54
query,1508873124.3465056,1508873124.3813832,635
query,1508873124.3813865,1508873124.4265618,2014
query,1508873124.4265788,1508873124.4949665,6200
query,1508873124.4974825,1508873124.5414708,0
query,1508873124.5414746,1508873124.5806088,683
query,1508873124.5806127,1508873124.6451185,4006
query,1508873124.6451223,1508873124.679367,6
query,1508873124.6793706,1508873124.8092442,5185
query,1508873124.8092477,1508873124.861427,3708
query,1508873124.861431,1508873124.9156592,1441
query,1508873124.9156635,1508873124.955678,2361
query,1508873124.9556813,1508873125.0625594,8167
query,1508873125.0625634,1508873125.1182635,3105
query,1508873125.118267,1508873125.1638696,5377
query,1508873125.1638734,1508873125.203719,374
query,1508873125.2037225,1508873125.2403405,1018
query,1508873125.240344,1508873125.3115058,635
query,1508873125.3115098,1508873125.3602743,401
query,1508873125.3602781,1508873125.405249,287
query,1508873125.4052527,1508873125.4561243,638
query,1508873125.456128,1508873125.492351,13
query,1508873125.4923546,1508873125.5161738,19
query,1508873125.5161898,1508873125.5414696,111
query,1508873125.5439484,1508873125.5718093,7
query,1508873125.5718126,1508873125.6250331,8361
query,1508873125.6250377,1508873125.6472855,1
query,1508873125.647289,1508873125.6834674,370
query,1508873125.6834712,1508873125.7507918,3330
query,1508873125.7507958,1508873125.7633767,0
query,1508873125.76338,1508873125.8179343,1009
query,1508873125.8179376,1508873125.8414857,261
query,1508873125.841489,1508873125.8624697,0
query,1508873125.8624728,1508873125.9004524,2114
query,1508873125.900456,1508873125.9585054,8285
query,1508873125.9585087,1508873126.0012157,2720
query,1508873126.00122,1508873126.0575583,3037
query,1508873126.0575616,1508873126.0905726,0
query,1508873126.0905757,1508873126.1360135,16
query,1508873126.1360164,1508873126.1752374,647
query,1508873126.1752412,1508873126.1902738,0
query,1508873126.1902769,1508873126.2701116,2548
query,1508873126.2701154,1508873126.3014932,1259
query,1508873126.3015091,1508873126.3573186,5406
query,1508873126.3598764,1508873126.385142,0
query,1508873126.3851454,1508873126.4257128,682
query,1508873126.4257157,1508873126.467635,1
query,1508873126.467639,1508873126.5104122,1398
query,1508873126.5104158,1508873126.53654,134
query,1508873126.5365434,1508873126.5795894,106
query,1508873126.579594,1508873126.6148279,20
query,1508873126.6148314,1508873126.6877744,5716
query,1508873126.6877785,1508873126.7231746,2208
query,1508873126.7231781,1508873126.76009,1831
query,1508873126.7600935,1508873126.8077347,3831
query,1508873126.8077385,1508873126.8477075,855
query,1508873126.8477108,1508873126.897677,0
query,1508873126.8976808,1508873126.9677918,3289
query,1508873126.9677956,1508873127.0356624,2997
query,1508873127.0356658,1508873127.0743644,4126
query,1508873127.074368,1508873127.1245697,4182
query,1508873127.124573,1508873127.1475267,2154
query,1508873127.1475303,1508873127.1897657,9
query,1508873127.1897826,1508873127.2212768,3097
query,1508873127.2242804,1508873127.2681396,15
query,1508873127.268143,1508873127.3120475,14
query,1508873127.3120506,1508873127.3259351,2
query,1508873127.3259385,1508873127.373391,6204
query,1508873127.3733945,1508873127.4232712,44
query,1508873127.4232748,1508873127.527693,5023
query,1508873127.5276966,1508873127.603394,6919
query,1508873127.6033971,1508873127.6550667,11
query,1508873127.65507,1508873127.6826286,738
query,1508873127.6826315,1508873127.7318227,1406
query,1508873127.7318263,1508873127.794781,1
query,1508873127.7947843,1508873127.8373227,1590
query,1508873127.8373265,1508873127.888243,1814
query,1508873127.8882468,1508873127.9199078,2
query,1508873127.9199119,1508873127.9797893,3276
query,1508873127.979793,1508873128.0202115,457
query,1508873128.0202155,1508873128.062754,4397
query,1508873128.0627577,1508873128.0989883,0
query,1508873128.0989923,1508873128.1356225,3152
query,1508873128.1356373,1508873128.1474814,1
query,1508873128.1499832,1508873128.1956284,413
query,1508873128.1956315,1508873128.231403,747
query,1508873128.2314065,1508873128.2675273,5
query,1508873128.2675307,1508873128.313362,0
query,1508873128.313365,1508873128.3848174,3094
query,1508873128.3848212,1508873128.4260144,98
query,1508873128.426018,1508873128.447396,30
query,1508873128.4473991,1508873128.4943163,4806
query,1508873128.4943206,1508873128.5324736,760
query,1508873128.5324774,1508873128.548526,434
query,1508873128.5485291,1508873128.5907593,0
query,1508873128.5907629,1508873128.639626,152
query,1508873128.6396296,1508873128.712231,4912
query,1508873128.7122347,1508873128.770911,5788
query,1508873128.7709148,1508873128.8253899,5735
query,1508873128.8253934,1508873128.8638132,478
query,1508873128.863817,1508873128.9120517,186
query,1508873128.9120557,1508873128.949487,0
query,1508873128.9494908,1508873128.9875333,82
query,1508873128.9875486,1508873129.035535,4
query,1508873129.0382817,1508873129.066606,488
query,1508873129.0666096,1508873129.1116567,20
query,1508873129.11166,1508873129.1556396,41
query,1508873129.155643,1508873129.219651,37
query,1508873129.2196546,1508873129.277401,4219
query,1508873129.2774048,1508873129.3165314,34
query,1508873129.316535,1508873129.3637524,233
query,1508873129.363756,1508873129.3958218,520
query,1508873129.395826,1508873129.4315228,485
query,1508873129.4315264,1508873129.4677894,3284
query,1508873129.467793,1508873129.5066912,5410
query,1508873129.506695,1508873129.5651245,0
query,1508873129.5651283,1508873129.596896,952
query,1508873129.5968997,1508873129.68339,6213
query,1508873129.6833942,1508873129.7290475,2
query,1508873129.729051,1508873129.78349,982
query,1508873129.7834935,1508873129.8514984,5743
query,1508873129.8515022,1508873129.8765936,5
query,1508873129.8765972,1508873129.892075,116
query,1508873129.8920898,1508873129.9122765,0
query,1508873129.9135983,1508873129.9588616,2595
query,1508873129.9588652,1508873129.974137,96
query,1508873129.9741406,1508873129.9835339,8
query,1508873129.9835374,1508873129.9927046,19
query,1508873129.992708,1508873130.0100224,14
query,1508873130.0100267,1508873130.033565,228
query,1508873130.0335689,1508873130.0575044,2856
query,1508873130.0575078,1508873130.0835798,4013
query,1508873130.0835836,1508873130.1021569,279
query,1508873130.10216,1508873130.1151235,4
query,1508873130.1151261,1508873130.125811,2
query,1508873130.125814,1508873130.1373918,1157
query,1508873130.1373944,1508873130.143819,0
query,1508873130.143822,1508873130.1574728,369
query,1508873130.1574757,1508873130.1738153,527
query,1508873130.1738183,1508873130.1815639,35
query,1508873130.1815667,1508873130.214486,36
query,1508873130.2144887,1508873130.2432194,678
query,1508873130.2432225,1508873130.2545261,0
query,1508873130.2545414,1508873130.2701457,0
query,1508873130.27149,1508873130.3119416,4992
query,1508873130.3119447,1508873130.3229055,8
query,1508873130.3229086,1508873130.3580613,3023
query,1508873130.3580647,1508873130.3798888,714
query,1508873130.3798919,1508873130.4231584,47
query,1508873130.4231617,1508873130.4589524,1059
query,1508873130.4589553,1508873130.4935205,0
query,1508873130.4935308,1508873130.518479,1229
query,1508873130.5184824,1508873130.565201,3841
query,1508873130.5652049,1508873130.5946727,17
query,1508873130.5946763,1508873130.6269011,16
query,1508873130.6269047,1508873130.6759155,744
query,1508873130.675919,1508873130.6868904,15
query,1508873130.6868935,1508873130.7119823,948
query,1508873130.7119856,1508873130.7670043,96
query,1508873130.7670074,1508873130.811065,32
query,1508873130.8110688,1508873130.8351338,2540
query,1508873130.8351367,1508873130.8482137,6
query,1508873130.8482165,1508873130.870033,1830
query,1508873130.8700483,1508873130.8804398,21
query,1508873130.8829522,1508873130.9452825,0
query,1508873130.9452856,1508873130.97253,1962
query,1508873130.9725335,1508873130.9862673,1217
query,1508873130.9862704,1508873131.00186,0
query,1508873131.001863,1508873131.0229418,868
query,1508873131.022945,1508873131.0814128,7011
query,1508873131.0814166,1508873131.113295,28
query,1508873131.1132982,1508873131.1590889,81
query,1508873131.1590917,1508873131.1878254,1507
query,1508873131.1878288,1508873131.2064033,1895
query,1508873131.2064064,1508873131.2227857,487
query,1508873131.2227888,1508873131.2309477,131
query,1508873131.2309506,1508873131.254718,46
query,1508873131.2547212,1508873131.2801666,959
query,1508873131.2801702,1508873131.3036704,2705
query,1508873131.3036737,1508873131.3444915,432
query,1508873131.3444948,1508873131.3970761,126
query,1508873131.3970797,1508873131.4359105,2
query,1508873131.4359138,1508873131.48295,457
query,1508873131.4829662,1508873131.5318575,4895
query,1508873131.5343175,1508873131.5764027,3162
query,1508873131.576406,1508873131.6084945,3065
query,1508873131.608498,1508873131.6432004,516
query,1508873131.643204,1508873131.6746461,1226
query,1508873131.6746495,1508873131.6971424,555
query,1508873131.6971457,1508873131.7356384,1
query,1508873131.735642,1508873131.7770772,0
query,1508873131.777081,1508873131.811242,595
query,1508873131.8112457,1508873131.845512,374
query,1508873131.845515,1508873131.8672411,489
query,1508873131.8672447,1508873131.9168699,5336
query,1508873131.9168732,1508873131.9793954,8581
query,1508873131.9793987,1508873132.0740132,522
query,1508873132.074017,1508873132.1002686,402
query,1508873132.1002717,1508873132.1406298,1197
query,1508873132.140633,1508873132.1852212,0
query,1508873132.1852248,1508873132.2232654,2513
query,1508873132.2232687,1508873132.255261,1488
query,1508873132.2552645,1508873132.3354971,4477
query,1508873132.335514,1508873132.3791683,1819
query,1508873132.3815944,1508873132.4192932,4
query,1508873132.4192965,1508873132.453106,0
query,1508873132.4531093,1508873132.4894025,1
query,1508873132.4894068,1508873132.511285,89
query,1508873132.5112886,1508873132.525504,2
query,1508873132.5255072,1508873132.5483422,2738
query,1508873132.548345,1508873132.5720074,3238
query,1508873132.5720108,1508873132.6017516,4241
query,1508873132.6017551,1508873132.6235418,1417
query,1508873132.623545,1508873132.6433432,4
query,1508873132.6433468,1508873132.662771,59
query,1508873132.6627746,1508873132.7076108,3804
query,1508873132.7076142,1508873132.7202096,11
query,1508873132.7202127,1508873132.769821,7941
query,1508873132.769825,1508873132.7930076,20
query,1508873132.793011,1508873132.8111584,983
query,1508873132.811162,1508873132.8381925,2360
query,1508873132.8381963,1508873132.8591535,32
query,1508873132.8591566,1508873132.9153392,2771
query,1508873132.9153566,1508873132.9484088,603
query,1508873132.950875,1508873132.9875228,3270
query,1508873132.9875264,1508873133.0234466,795
query,1508873133.02345,1508873133.0547442,4477
query,1508873133.0547476,1508873133.095296,289
query,1508873133.0952995,1508873133.1431036,773
query,1508873133.143107,1508873133.2044778,320
query,1508873133.2044814,1508873133.2414834,1674
query,1508873133.2414873,1508873133.2902565,0
query,1508873133.29026,1508873133.3570888,152
query,1508873133.3570921,1508873133.418467,0
query,1508873133.4184706,1508873133.4531624,1368
query,1508873133.4531658,1508873133.49054,1096
query,1508873133.4905438,1508873133.597089,8188
query,1508873133.597093,1508873133.713325,684
query,1508873133.7133296,1508873133.737704,1313
query,1508873133.7377074,1508873133.8208477,2267
query,1508873133.820852,1508873133.8618782,1029
query,1508873133.8618815,1508873133.9167378,96
query,1508873133.9167416,1508873134.0044854,572
query,1508873134.004502,1508873134.0348969,1006
query,1508873134.037345,1508873134.0740774,5
query,1508873134.0740812,1508873134.1689782,408
query,1508873134.168982,1508873134.2926555,1660
query,1508873134.2926593,1508873134.3326352,1180
query,1508873134.3326392,1508873134.3642619,0
query,1508873134.3642654,1508873134.4372327,4550
query,1508873134.4372368,1508873134.4644704,217
query,1508873134.4644744,1508873134.5020146,1431
query,1508873134.5020182,1508873134.5399141,5449
query,1508873134.5399182,1508873134.550351,0
query,1508873134.5503542,1508873134.5769637,2133
query,1508873134.576967,1508873134.5925388,1
query,1508873134.5925422,1508873134.6276414,40
query,1508873134.6276448,1508873134.6745143,3805
query,1508873134.6745176,1508873134.6937008,775
query,1508873134.6937041,1508873134.7241242,16
query,1508873134.7241282,1508873134.757935,3297
query,1508873134.7579389,1508873134.7804048,2719
query,1508873134.7804081,1508873134.8269672,6
