tables,1509121304.058145,1509124312.7681348
query,1509124312.7691295,1509124312.937415,128
query,1509124312.9531589,1509124313.132825,3192
query,1509124313.1328294,1509124313.2249906,2298
query,1509124313.2249942,1509124313.2692516,753
query,1509124313.2692556,1509124313.292647,87
query,1509124313.2926514,1509124313.4478576,6906
query,1509124313.4478614,1509124313.467883,8
query,1509124313.4678864,1509124313.5098858,104
query,1509124313.5098894,1509124313.5469744,665
query,1509124313.5469782,1509124313.5823934,115
query,1509124313.5823975,1509124313.6534276,780
query,1509124313.6534317,1509124313.8069794,2762
query,1509124313.8069835,1509124313.8553605,780
query,1509124313.8553646,1509124314.0019538,3953
query,1509124314.0019577,1509124314.0296881,431
query,1509124314.0296915,1509124314.1454122,2544
query,1509124314.1454163,1509124314.1690674,118
query,1509124314.1690705,1509124314.1995528,761
query,1509124314.1995559,1509124314.222626,47
query,1509124314.2226298,1509124314.252585,779
query,1509124314.2526357,1509124314.2967825,573
query,1509124314.3088272,1509124314.3602915,1937
query,1509124314.360295,1509124314.3867204,782
query,1509124314.3867235,1509124314.6184316,4458
query,1509124314.618436,1509124314.645077,340
query,1509124314.6450808,1509124314.6775072,780
query,1509124314.6775107,1509124314.713004,780
query,1509124314.7130075,1509124314.7454355,780
query,1509124314.7454383,1509124314.778685,780
query,1509124314.7786891,1509124314.8122475,780
query,1509124314.8122516,1509124314.8383596,13
query,1509124314.838364,1509124314.86488,97
query,1509124314.8648834,1509124315.0208166,6763
query,1509124315.0208209,1509124315.0460758,384
query,1509124315.0460792,1509124315.2735877,7096
query,1509124315.273592,1509124315.3410118,2160
query,1509124315.3410156,1509124315.353252,3
query,1509124315.3532546,1509124315.3952262,1569
query,1509124315.3952296,1509124315.4735482,2691
query,1509124315.4735515,1509124315.5040522,1160
query,1509124315.5040925,1509124315.7296717,6946
query,1509124315.741791,1509124315.956851,7818
query,1509124315.9568548,1509124316.2876444,7767
query,1509124316.2876484,1509124316.8948967,13107
query,1509124316.8949008,1509124316.9221194,469
query,1509124316.922123,1509124317.125291,6334
query,1509124317.1252947,1509124317.3537076,6405
query,1509124317.3537118,1509124317.7095604,9414
query,1509124317.7095647,1509124317.7177558,1
query,1509124317.7177594,1509124317.7402413,48
query,1509124317.740245,1509124317.8886676,3665
query,1509124317.8886726,1509124317.8966067,0
query,1509124317.8966098,1509124318.343635,12453
query,1509124318.3436394,1509124318.4130158,2074
query,1509124318.4130194,1509124318.5169823,1785
query,1509124318.5169866,1509124318.5907223,1566
query,1509124318.5907269,1509124318.6247869,861
query,1509124318.62481,1509124318.8595555,7188
query,1509124318.8595598,1509124318.9561455,3606
query,1509124318.95615,1509124318.985379,143
query,1509124318.9856062,1509124319.0421128,7
query,1509124319.0555036,1509124319.1290824,1835
query,1509124319.1290863,1509124319.5439527,8576
query,1509124319.5439563,1509124319.6148217,1690
query,1509124319.6148257,1509124319.6420949,446
query,1509124319.642099,1509124319.7050717,1592
query,1509124319.705076,1509124319.7655208,2089
query,1509124319.7655253,1509124320.0946531,8527
query,1509124320.094657,1509124320.2428877,7230
query,1509124320.2428916,1509124320.2856588,181
query,1509124320.2856631,1509124320.4167447,2802
query,1509124320.416749,1509124320.7483938,10012
query,1509124320.7483978,1509124320.7700648,5
query,1509124320.7700686,1509124320.7988007,612
query,1509124320.7988045,1509124321.0073106,2606
query,1509124321.0073152,1509124321.0699546,1980
query,1509124321.0699587,1509124321.077124,0
query,1509124321.0771272,1509124321.1063318,164
query,1509124321.1063356,1509124321.1526215,1218
query,1509124321.1526253,1509124321.196723,925
query,1509124321.1967633,1509124321.3145468,3631
query,1509124321.3268812,1509124321.3572445,510
query,1509124321.3572478,1509124321.3811033,630
query,1509124321.3811066,1509124321.4033382,10
query,1509124321.4033413,1509124321.462961,2342
query,1509124321.4629648,1509124321.4883728,108
query,1509124321.4883776,1509124321.4949737,0
query,1509124321.494977,1509124321.7521777,11524
query,1509124321.7521825,1509124321.7795527,250
query,1509124321.7795565,1509124321.8412156,2004
query,1509124321.8412194,1509124321.909886,1547
query,1509124321.9098897,1509124321.934969,418
query,1509124321.9349728,1509124321.9570136,51
query,1509124321.9570172,1509124321.996473,999
query,1509124321.9964767,1509124322.0297203,14
query,1509124322.0297244,1509124322.1105037,2660
query,1509124322.1105077,1509124322.137779,644
query,1509124322.137783,1509124322.2399423,4024
query,1509124322.2399461,1509124322.3939948,7592
query,1509124322.393999,1509124322.7120566,12072
query,1509124322.7121015,1509124322.7483308,30
query,1509124322.7604742,1509124322.8788579,3104
query,1509124322.878862,1509124323.0196624,3879
query,1509124323.019667,1509124323.0667586,207
query,1509124323.0667627,1509124323.1335006,1671
query,1509124323.1335042,1509124323.2938712,4557
query,1509124323.2938752,1509124323.5997715,9744
query,1509124323.5997758,1509124323.6898568,2187
query,1509124323.6898603,1509124323.7176461,323
query,1509124323.7176502,1509124323.8781028,5424
query,1509124323.8781064,1509124323.9387252,1901
query,1509124323.9387298,1509124324.0757694,9563
query,1509124324.0757737,1509124324.102323,625
query,1509124324.1023266,1509124324.1336951,68
query,1509124324.133699,1509124324.1982114,1774
query,1509124324.198215,1509124324.2286234,108
query,1509124324.2286274,1509124324.3112772,6201
query,1509124324.3112817,1509124324.6421943,9553
query,1509124324.6421983,1509124324.6885438,444
query,1509124324.6885478,1509124324.7279897,69
query,1509124324.7280262,1509124324.769846,26
query,1509124324.7824402,1509124324.8697367,1406
query,1509124324.8697407,1509124325.0562782,6673
query,1509124325.0562828,1509124325.0824544,25
query,1509124325.0824575,1509124325.1697702,3038
query,1509124325.169775,1509124325.258457,2060
query,1509124325.2584612,1509124325.283692,167
query,1509124325.2836957,1509124325.7114012,10822
query,1509124325.711405,1509124325.7348337,106
query,1509124325.734838,1509124325.8917644,6749
query,1509124325.8917682,1509124325.9557788,3616
query,1509124325.9557827,1509124326.2444031,5085
query,1509124326.2444072,1509124326.271399,594
query,1509124326.2714028,1509124326.300877,703
query,1509124326.3008807,1509124326.7293198,9473
query,1509124326.7293239,1509124326.7547915,46
query,1509124326.7547953,1509124326.7912927,267
