tables,1509041032.7437394,1509043365.1903772
query,1509043365.1906486,1509043367.183118,1955
query,1509043367.1966827,1509043367.8948681,2601
query,1509043367.8948722,1509043368.0085762,1256
query,1509043368.0085793,1509043368.0991776,522
query,1509043368.0991812,1509043368.1846237,1048
query,1509043368.1846278,1509043368.275526,393
query,1509043368.2755313,1509043368.3784704,28
query,1509043368.3784747,1509043368.9122648,2027
query,1509043368.9122684,1509043368.994461,138
query,1509043368.9944646,1509043369.072316,245
query,1509043369.0723193,1509043369.1360047,0
query,1509043369.136008,1509043369.2914557,15
query,1509043369.2914598,1509043369.3922615,1451
query,1509043369.392265,1509043369.9052062,2029
query,1509043369.9052103,1509043370.0032141,1662
query,1509043370.003218,1509043370.066761,306
query,1509043370.0667644,1509043370.1370232,973
query,1509043370.1370268,1509043370.3672361,2410
query,1509043370.36724,1509043370.7993734,2029
query,1509043370.7993767,1509043370.8615756,395
query,1509043370.8616135,1509043371.1042364,1638
query,1509043371.120372,1509043371.6574626,2029
query,1509043371.6574664,1509043371.7613413,109
query,1509043371.7613454,1509043372.2343717,2677
query,1509043372.234376,1509043372.578205,2023
query,1509043372.5782092,1509043372.6932082,122
query,1509043372.6932123,1509043372.9370382,2304
query,1509043372.9370422,1509043373.051228,70
query,1509043373.051232,1509043373.1243575,28
query,1509043373.1243615,1509043373.2059963,2018
query,1509043373.2059999,1509043373.2889507,1691
query,1509043373.2889547,1509043373.3768437,480
query,1509043373.3768475,1509043373.481281,1353
query,1509043373.4812853,1509043373.6220458,1425
query,1509043373.6220498,1509043373.7688699,1171
query,1509043373.7688737,1509043374.164305,2029
query,1509043374.164309,1509043374.3261492,225
query,1509043374.3261535,1509043374.5990348,1981
query,1509043374.5990388,1509043374.9342937,1903
query,1509043374.934298,1509043375.0292726,1719
query,1509043375.029324,1509043375.1629844,990
query,1509043375.175564,1509043375.5332272,2894
query,1509043375.533232,1509043375.7450166,1643
query,1509043375.7450216,1509043375.827876,532
query,1509043375.82788,1509043376.2934303,2029
query,1509043376.2934334,1509043376.756628,2028
query,1509043376.7566314,1509043376.8426273,485
query,1509043376.8426306,1509043377.0042737,1954
query,1509043377.0042772,1509043377.0886152,696
query,1509043377.0886185,1509043377.331207,2028
query,1509043377.331211,1509043377.448506,1371
query,1509043377.44851,1509043377.5895858,19
query,1509043377.58959,1509043377.727595,1165
query,1509043377.7275987,1509043377.8104918,362
query,1509043377.8104954,1509043377.8939679,9
query,1509043377.893972,1509043377.9945202,1414
query,1509043377.994524,1509043378.429532,2401
query,1509043378.4295363,1509043378.5090232,2
query,1509043378.5090268,1509043378.5720165,0
query,1509043378.572021,1509043378.6899645,699
query,1509043378.6900136,1509043379.2396748,2018
query,1509043379.2525105,1509043379.3346133,2005
query,1509043379.3346171,1509043379.4197187,972
query,1509043379.4197226,1509043379.5320446,1134
query,1509043379.5320487,1509043379.7952073,1875
query,1509043379.795211,1509043379.8480065,538
query,1509043379.84801,1509043380.1623542,2588
query,1509043380.1623578,1509043380.2280939,2930
query,1509043380.2280977,1509043380.3135638,1173
query,1509043380.3135676,1509043380.558991,2095
query,1509043380.5589945,1509043381.079919,2029
query,1509043381.0799239,1509043381.1741407,340
query,1509043381.174145,1509043381.261866,92
query,1509043381.2618704,1509043381.362467,1424
query,1509043381.3624713,1509043381.4476354,520
query,1509043381.4476402,1509043381.8906424,2805
query,1509043381.8906467,1509043382.3757463,7760
query,1509043382.3757508,1509043382.634864,2484
query,1509043382.6348686,1509043382.695994,1
query,1509043382.695998,1509043382.79348,32
query,1509043382.7935274,1509043382.8808804,35
query,1509043382.8970406,1509043383.0141833,337
query,1509043383.0141876,1509043383.1500785,1240
query,1509043383.1500826,1509043383.7177045,9659
query,1509043383.7177093,1509043384.254501,4018
query,1509043384.254505,1509043384.6023996,3943
query,1509043384.6024034,1509043384.8104186,96
query,1509043384.8104234,1509043384.8510242,0
query,1509043384.8510284,1509043384.9461253,509
query,1509043384.9461293,1509043385.1173785,159
query,1509043385.1173823,1509043385.3217032,1047
query,1509043385.321707,1509043385.4830425,1538
query,1509043385.483046,1509043385.57215,286
query,1509043385.5721536,1509043385.6057606,0
query,1509043385.6057644,1509043385.8354342,2775
query,1509043385.835438,1509043386.2252438,4061
query,1509043386.2252476,1509043386.3416567,485
query,1509043386.3416605,1509043386.5083032,460
query,1509043386.5083075,1509043386.5944912,3
query,1509043386.5944955,1509043386.7498806,895
query,1509043386.7499266,1509043386.9570482,818
query,1509043386.9698212,1509043387.0373135,5
query,1509043387.037317,1509043387.3413541,2436
query,1509043387.3413582,1509043387.4265823,896
query,1509043387.4265866,1509043387.49901,944
query,1509043387.4990137,1509043387.5878768,858
query,1509043387.5878804,1509043387.8114548,2276
query,1509043387.811458,1509043387.8943262,875
query,1509043387.89433,1509043387.9280913,2
query,1509043387.9280949,1509043388.2537084,2795
query,1509043388.2537122,1509043388.3399723,461
query,1509043388.3399765,1509043388.487644,177
query,1509043388.487648,1509043388.8594863,4871
query,1509043388.8594904,1509043389.0452821,5
query,1509043389.045287,1509043389.302655,2795
query,1509043389.3026586,1509043389.3925405,331
query,1509043389.392545,1509043389.477601,85
query,1509043389.4776053,1509043389.5098636,0
query,1509043389.5098674,1509043389.5849965,137
query,1509043389.5850012,1509043389.6512191,149
query,1509043389.6512682,1509043390.2298632,7869
query,1509043390.242248,1509043390.6703422,3299
query,1509043390.670346,1509043390.8353345,544
query,1509043390.8353384,1509043391.1659048,2417
query,1509043391.1659083,1509043391.594909,2799
query,1509043391.5949135,1509043391.6851952,1630
query,1509043391.6851995,1509043391.8121557,1480
query,1509043391.81216,1509043391.969385,624
query,1509043391.9693887,1509043392.1291358,124
query,1509043392.12914,1509043392.4823585,2760
query,1509043392.4823623,1509043392.9431338,3738
query,1509043392.9431384,1509043393.9104183,5561
query,1509043393.9104223,1509043393.990514,3
query,1509043393.9905179,1509043394.143572,1919
query,1509043394.143576,1509043394.356617,172
query,1509043394.356621,1509043394.5943506,1689
query,1509043394.5943549,1509043394.6852152,340
query,1509043394.685219,1509043394.8894424,184
query,1509043394.8894467,1509043394.9839141,1458
query,1509043394.9839187,1509043395.0508223,467
query,1509043395.050871,1509043395.1731768,90
query,1509043395.1860046,1509043395.3420591,1554
query,1509043395.342063,1509043395.4634156,129
query,1509043395.4634197,1509043395.5770314,1
query,1509043395.5770357,1509043396.0721354,4998
query,1509043396.0721397,1509043396.1552198,415
query,1509043396.1552238,1509043396.198092,0
query,1509043396.1980958,1509043396.327158,440
query,1509043396.3271616,1509043396.4182348,139
query,1509043396.418239,1509043396.5447087,1403
query,1509043396.5447133,1509043396.8575816,2304
query,1509043396.857586,1509043396.942809,66
query,1509043396.9428132,1509043397.2592275,4001
query,1509043397.2592323,1509043397.5405407,2214
query,1509043397.5405452,1509043397.6146188,806
query,1509043397.614623,1509043397.8921065,2234
query,1509043397.8921108,1509043398.0674648,897
query,1509043398.0674694,1509043398.2007606,10
query,1509043398.2007644,1509043398.4378195,1862
query,1509043398.4378238,1509043398.5971835,947
query,1509043398.5972636,1509043399.1334407,4940
query,1509043399.1458366,1509043399.6565635,6790
query,1509043399.656568,1509043399.7455485,831
query,1509043399.7455528,1509043400.1192348,2846
query,1509043400.1192386,1509043400.5182652,3732
query,1509043400.5182693,1509043400.5874245,169
query,1509043400.5874283,1509043400.6545606,29
query,1509043400.6545646,1509043400.722489,1622
query,1509043400.7224934,1509043400.8007488,66
